Hour	Ring	Troph	Schizont
0	86.23188406	2.173913043	11.5942029
3	96.66666667	2.5	0.833333333
6	95.71428571	4.285714286	0
9	90.16393443	9.016393443	0.819672131
12	79.13043478	20.86956522	0
15	63.10679612	36.89320388	0
18	19.68503937	80.31496063	0
21	4.587155963	40.36697248	55.04587156
24	2.459016393	35.24590164	62.29508197
27	2.97029703	14.85148515	82.17821782
30	1.438848921	7.913669065	90.64748201
33	33.10810811	0	66.89189189
36	89.07563025	0	10.92436975
39	97.95918367	0.680272109	1.360544218
42	96.2962963	2.962962963	0.740740741
45	95.8041958	4.195804196	0
48	79.62962963	20.37037037	0
51	50.4587156	49.5412844	0
54	31.4516129	68.5483871	0
57	11.11111111	17.59259259	71.2962963
60	1.639344262	6.557377049	91.80327869
63	2.654867257	8.849557522	88.49557522
66	0.970873786	2.912621359	96.11650485
69	8.955223881	3.731343284	87.31343284
