Hour	Ring	Troph	Schizont
0	2.777777778	0	97.22222222
3	97.4789916	0	2.521008403
6	99.19354839	0	0.806451613
9	98.91304348	0	1.086956522
12	100	0	0
15	100	0	0
18	99.15254237	0.847457627	0
21	98.4496124	1.550387597	0
24	71.11111111	28.88888889	0
27	11.67883212	88.32116788	0
30	6.18556701	93.81443299	0
33	6.857142857	93.14285714	0
36	16.27906977	74.41860465	9.302325581
39	2.941176471	39.41176471	57.64705882
42	5.649717514	30.50847458	63.84180791
45	4.166666667	3.645833333	92.1875
48	5.97826087	2.173913043	91.84782609
51	2.797202797	3.496503497	93.70629371
54	33.33333333	1.025641026	65.64102564
57	64.34782609	0	35.65217391
60	79.50819672	0	20.49180328
63	66.94915254	0	33.05084746
