time_points	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60
mal_mito_1	29.9646	16.1988	12.3355	15.6425	22.6042	80.0818	132.69	255.929	222.15	467.222	660.025	457.649	359.004	196.517	48.9399	27.9305	36.2889	61.0463	136.647	195.27	305.088
mal_mito_2	116.448	73.0887	46.5568	69.0641	125.414	213.195	395.336	763.302	972.968	1800.3	1852.62	1490.85	1103.95	728.152	151.535	92.8661	132.747	195.045	345.425	528.851	816.393
mal_mito_3	110.49	69.2213	44.6157	68.9662	118.703	253.838	416.877	737.1	1127.79	1575.15	1685.6	1594.29	1084.85	688.828	147.478	89.3042	132.08	208.932	385.124	583.962	889.743
mal_rna_14	5721	4122.54	2621.2	2110.46	2815.13	3403.14	6697.86	11280.3	18738.8	16531.5	18344.5	23796.6	25619.5	16810.6	5917.23	3112.1	2145.62	2406.79	4368.88	6977.91	9893.72
mal_rna_17	13728.8	9070.55	5601.54	4951.06	4111.33	5279.16	9376.18	15843.2	22286.9	27359	31286.5	35851.2	41823.9	30174.3	12164.8	5685.58	4925.78	4531.97	7706.95	11287.8	14981.3
PF3D7_0100100	93.4497	78.6708	31.5861	12.3214	5.89983	3.73299	3.15156	3.07302	6.76786	14.2898	16.5428	17.5024	13.6472	9.7987	36.2713	28.8289	9.21839	5.11144	3.61425	3.65379	5.24243
PF3D7_0100200	4.51581	2.99203	8.30597	34.4118	49.0119	5.83257	2.99115	2.72459	4.68985	10.03529	13.6058	16.2374	7.71251	4.84852	4.63217	18.978	20.3542	19.0118	4.33324	2.24261	2.31152
PF3D7_0100300	189.303	177.169	119.526	63.7714	27.9965	5.84851	2.37187	1.653861	1.37405	1.365282	1.512269	2.05369	4.41493	9.93984	91.2497	90.8588	34.8071	9.16134	2.91069	1.680687	1.457556
PF3D7_0100400	1.532567	2.66079	4.49179	13.3656	11.6041	2.68656	1.369368	1.617802	4.43784	4.40789	3.36308	4.59455	2.62549	2.28696	2.47639	11.9386	11.9091	6.72624	1.540493	1.583346	2.70437
PF3D7_0100600	1.635743	1.467011	1.503126	3.43402	4.3545	1.810373	1.428664	1.151917	1.0355351	1.0583528	1.0632972	1.306394	2.21305	1.790755	2.98995	3.31232	3.84832	2.71405	1.263526	1.192466	1.0370788
PF3D7_0100900	1.327979	1.481838	2.03834	5.78216	13.3735	5.07172	2.63645	1.274419	1.256558	1.0602074	1.195949	1.553103	1.500739	2.06069	2.79666	2.82447	4.90033	5.52759	3.52532	2.09244	1.267754
PF3D7_0101300	2.38109	4.01119	47.8754	243.807	362.55	174.483	45.746	11.4597	4.24453	2.62205	3.20499	2.58839	8.62148	5.67427	11.1263	97.4464	268.059	278.053	92.9387	32.4761	7.09504
PF3D7_0101600	1.537857	1.451572	1.790437	2.26701	4.91036	1.374731	1.0828965	1.0367066	1.137489	1.112843	1.305977	1.444488	2.17266	5.20508	2.63538	2.84121	2.75273	2.57704	1.291143	1.155046	1.0717165
PF3D7_0101800	1.418088	1.175415	1.248373	1.678362	1.422607	1.417148	1.281833	1	1	1.0767385	1	1.201005	2.59837	6.3052	2.57111	1.536707	1.476342	1.657492	1.148829	1.0422747	1.0486772
PF3D7_0101900	2.84963	2.41154	2.1313	1.495366	1.291635	1.186386	1.090698	1.0804202	1.0751377	1	1.267912	1.729019	5.87839	17.9833	4.68458	2.22318	1.438238	1.176801	1.199213	1.067899	1.0392145
PF3D7_0102000	3.24147	2.56679	1.592227	2.02999	1.287451	1.27614	1.134281	1.0599402	1	1	1.0993554	2.07554	16.2561	37.0689	4.90096	2.06571	1.648074	1.390555	1.177582	1.10089	1.115813
PF3D7_0102200	4253.03	1233.03	280.889	136.434	69.6915	16.9629	8.51755	6.06425	5.94531	20.5744	514.623	1205.31	14626.1	1	2210.12	693.562	234.227	93.4151	24.6136	18.5428	15.2923
PF3D7_0102300	7.76132	2.49985	1	7.5205	14.8854	136.066	312.77	405.312	260.472	164.813	75.2567	31.3245	41.722	67.2692	7.50347	5.23718	26.4463	101.451	257.161	333.744	273.238
PF3D7_0102400	2.90925	2.60307	2.51066	3.03208	3.71832	7.90199	11.4976	12.6405	13.8508	13.7798	12.9293	18.7058	24.3051	19.2668	3.89584	2.57111	5.3558	7.37963	10.84038	11.2215	11.1122
PF3D7_0102500	16.7494	10.09011	3.91973	2.62418	1.950988	1.884471	1.801677	2.31026	2.50885	26.6726	271.719	1296.86	2102.83	843.031	44.8912	12.7175	8.2873	5.23827	2.66297	3.39843	4.40913
PF3D7_0102600	17.446	63.6446	273.013	267.35	86.042	39.4949	12.6106	6.1497	4.54076	3.14938	3.78658	4.19028	11.6667	21.256	67.7334	235.223	266.377	88.7766	16.1476	8.09957	4.6453
