time_points	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60	63	66	69
mal_mito_1	35.7683	17.5577	4.7031	4.47911	4.01404	7.2621	27.7455	66.8748	87.7775	191.577	366.646	580.188	98.3312	24.4999	8.48432	4.26202	4.19795	6.65253	22.6368	41.4925	58.8618	120.414	95.822	194.525
mal_mito_2	545.371	160.649	63.4788	30.6647	23.1118	39.186	191.445	307.282	611.022	692.319	973.169	1546.24	713.611	251.653	51.6704	27.474	27.0339	36.6956	106.645	275.479	380.092	769.41	1601.86	1797.94
mal_mito_3	564.751	181.033	71.6358	36.903	21.6714	36.9915	192.74	367.65	709.339	1003.13	1495.79	2022.83	928.247	284.515	65.2332	32.3202	25.1802	40.6751	115.406	285.63	479.297	1065.02	1224.62	1717.94
mal_rna_10	693.962	1	277.773	318.816	191.614	279.29	1430.61	1567.86	2996.13	2136.48	612.45	2205.86	981.345	758.663	1	1	986.944	1297.9	1705.74	4134.17	4714.59	7152.33	3847	9699.09
mal_rna_11	4495.94	1002.35	1456.98	664.089	332.414	670.95	1093.58	1149.01	2340.38	2037.1	2501.05	2873.75	2721.63	1166.32	644.227	581.722	1011.95	1590.97	1844.81	2996.08	2561.44	4913.1	3675.12	5420.38
mal_rna_14	16359.1	2609.05	2100.07	1151.91	1090.9	995.514	3139.35	4135.64	5892.72	5128.32	5177.64	6536.1	4565.17	3111.01	1686.02	949.264	764.409	1399.98	4777.61	7084.89	5788.68	11303.3	9774.71	14611.4
mal_rna_15	38987.5	12765.5	7415.95	3747.39	4086.36	6711.05	43590.5	49187.5	62108.2	45031.8	38964.9	31250.8	17401	11418.8	5117.02	7870.2	8805.74	14188.5	48452.4	119993	136190	168884	94206.5	91838.2
mal_rna_17	27180.1	7317.22	6374.11	4201.38	3347.92	2317.93	6227.6	9154.47	11288.4	10417.2	10775.7	17085.9	12981.9	10955.3	5338	3699.07	8659.18	10040.5	10178.1	16395.1	22591.3	39080.5	20482.3	51613.2
mal_rna_18	5364.35	3161.8	1469.9	563.243	591.122	3139.53	13549.8	16692.7	15526	12065.8	9195.51	7424.68	5529.12	3435.7	876.851	735.259	1745.22	7075.16	21111.8	38953.6	37653.6	53886.2	23274.6	24971.7
mal_rna_19	2065.02	1141.37	928.426	450.648	533.267	1814.22	7300.7	7787.72	9412.78	6412.93	5952.52	3867.21	3651	1411.46	659.32	381.383	1041.07	2012.91	9162.84	16900.4	14472.6	20939.9	10251.8	11298.1
mal_rna_9	1	277.779	1	414.561	1	1	1	1219.9	780.489	1345.59	1421.81	2314.78	798.302	925.296	1	1	535.571	1407.33	1447.73	5134.86	7314.14	7468.57	5363.12	16869
malmito_rna_1	1731.31	1020.73	369.584	466.565	318.306	186.302	1814.18	3130.93	6263.22	5757.54	5410.15	4878.96	2367.3	505.497	424.847	468.695	438.667	72.9627	2814.12	5255.03	6567.89	10406.4	8171.47	8760.28
malmito_rna_10	1742.51	1204.72	997.125	474.314	568.752	829.899	3980.35	8079.4	8565.27	8182.62	7464.79	6197.52	2556	1094.1	553.989	333.835	123.362	202.191	525.322	1427.94	1323.96	2499.21	2864.87	1216.51
malmito_rna_27	9565.27	1	1	1	1754.9	2561.64	8770.56	2508.34	3308.1	9508.73	5627.16	3927.64	9021.48	1	3905.68	1	1	7956.46	2728.98	4149.8	2670	17873.1	11235.4	8836.19
malmito_rna_9	1	1566.71	1	1	1	1	1	627.835	1	634.849	804.737	1309.88	1	1	1	1	1	1	1364.99	1	5339.01	1625.74	1	7069.15
malmito_rna_LSUF	536.009	403.881	209.937	197.298	138.355	230.181	785.887	863.577	1332.96	851.955	909.186	894.242	959.722	468.97	175.737	93.025	305.484	446.015	794.514	1161.39	1508.93	2436.72	1697.77	1958.13
malmito_rna_LSUG	5013.73	1989.38	1464.08	867.548	610.879	1878.59	10077.3	12813.7	15400.6	10676.3	7231.05	5897.93	4978.75	2135.33	1122.63	942.574	1966.9	5503.59	16951.9	36903.6	40110.4	46082.4	17036.7	19209.1
malmito_rna_RNA11	25133.4	8817.28	15297	5928.94	1976.2	3605.66	16931.4	24355.4	45934.9	36049.1	25345.1	24322.4	31746.7	4907.96	2932.57	3971.04	17028.8	10080.1	29186.7	52174.7	66127.8	79594.4	58199.6	62685.7
malmito_rna_RNA12	1	1	1	1	1	1	1	1	908.415	261.877	1	539.703	1	1	1	1	1	1	1	570.182	1	2007.1	1388.14	728.269
