time_points	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60	63	66	69
PF3D7_0100100	1.527884	1.320112	1.423677	2.32956	5.81443	14.704	32.6324	20.2672	24.0811	11.5032	3.05449	1.513227	1.229353	1.265174	1.509833	1.464245	1.354354	1.561608	2.25987	5.37184	12.2037	11.3213	15.1726	16.6649
PF3D7_0100200	1.465536	1	1	1	1	1	1.0937168	1	1	1.713867	3.4641	2.17788	1.650134	1.131543	1	1	1	1	1	1	1	1	1	1.196417
PF3D7_0100300	2.95135	2.36081	1.176191	1.361518	1.869779	2.72235	3.67121	2.96684	3.08414	2.37976	1.896153	2.1623	1.313387	1.606515	1.935811	2.16735	1.650425	2.54627	1.655805	1.566241	2.20103	2.33796	2.3853	2.29671
PF3D7_0100400	1.201487	1	1	1	1	1	1	1.0665861	1	2.5105	7.71254	4.78097	1.562765	1.227731	1.241569	1	1	1	1	1	1	1	1	1.510065
PF3D7_0100500	1	1	1	1	1	1	1	1	24.3607	1	1	1	1	1	1	1	1	1	1	1	1	1	11.2576	13.5735
PF3D7_0100700	1	1	1	3.65771	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.56348	1	1	1	1	1
PF3D7_0100800	4.54956	1	1	1.193416	1.44778	1.230369	1.08932	1	3.26076	41.2178	203.661	66.486	15.3755	5.76412	3.12784	3.20511	1.277299	2.5382	1.129666	1.151472	1.125558	1.163341	1.343624	11.1557
PF3D7_0100900	1	1	1	1	1	1	1.0874269	1	1	1.665955	3.50155	2.7398	1.3639	1.122714	1	1	1	1	1	1	1.122897	1	1	1.137426
PF3D7_0101000	1.422356	1.256119	1	1	1	1	1	1	1.248311	4.31023	20.5939	5.31902	2.65153	1.179013	1.379781	1.155486	1.263963	1.13945	1.061715	1.0961246	1	1	1	1.757345
PF3D7_0101600	1.610465	1.493586	1	1.0887046	1.0684538	1	1	1	1.478538	8.00345	36.1632	9.49513	4.35329	1.517483	1.121984	1.599297	1.339135	1.201558	1.237871	1	1.115167	1.18728	1.140083	2.11612
PF3D7_0101800	1	1	1	1	1	1	1	1	1	1.75455	3.41302	2.57571	1.231925	1.156419	1.0829622	1	1	1	1.0808889	1	1	1	1	1.291953
PF3D7_0102000	1	1	2.19092	2.00619	2.22019	1.798952	1.398282	1.217942	1.516965	1.112364	1.308001	1.13905	1.184198	1	1.296504	1.606957	1.686939	1.326614	3.50548	2.50093	1.746493	1.242782	1.510745	1.34781
PF3D7_0102100	1.570706	1.34608	1	2.11952	1.959934	1.79017	1.80422	1.0943015	1.111843	1.291713	5.08692	4.42944	2.35491	1.16126	1.0855296	1	1	1.376862	1.416961	1.32472	1.0807501	1.472723	1.343769	1.361186
PF3D7_0102200	287.38	24152.3	1	18432.3	7785.94	3552.19	2076.48	516.027	214.416	82.8065	33.4479	14.7111	38.8436	49.9821	114.346	1931.78	18813.9	10547.1	12151	9874.84	5683.95	2404.39	1078.32	405.927
PF3D7_0102300	77.9677	27.6707	4.52994	7.92338	3.05493	2.26863	1.983765	2.21122	1.957687	2.66525	17.7369	82.3992	298.552	293.392	161.389	92.751	27.9784	37.7069	8.14069	6.00491	2.03717	2.34927	2.47181	2.28865
PF3D7_0102400	14.8078	9.72691	4.09049	2.18686	1.588797	1.403891	1.469797	1.321344	1.304895	1.596429	3.42204	4.7724	9.14771	10.94621	11.9586	13.0278	7.2392	9.86101	6.05822	2.28357	1.715433	1.644346	1.334696	1.32821
PF3D7_0102500	57.6326	609.323	152.702	28.8134	10.1121	3.78011	2.17142	1.853169	1.305167	1.363064	1.293456	1.285127	2.16745	2.07685	7.66948	77.0933	239.334	193.586	229.976	66.8632	12.5731	10.13449	3.59533	1.795322
PF3D7_0102600	2.85587	5.76644	14.9576	7.75761	3.60744	2.66264	2.40651	2.33486	16.7033	189.346	275.913	56.657	11.2756	6.12059	3.81404	5.09931	5.59402	4.31608	5.21129	3.48459	3.81125	2.18558	5.1334	49.8928
PF3D7_0102700	10.11389	433.511	1169	577.972	179.912	63.5842	32.0125	7.31526	4.22646	3.40439	4.56995	2.61169	4.61305	4.65518	5.7585	44.9421	475.787	297.255	306.955	266.905	161.069	59.3368	23.3641	7.69827
PF3D7_0102800	2.70727	2.3804	1.411073	1.694616	1.344596	1.472758	1.733202	1.376136	1.267662	1.193924	1.248064	2.31989	5.1009	4.79495	4.10445	3.68165	1.663912	2.24012	1.266099	1.647599	1.257668	1.272355	1.333	1.240108
PF3D7_0102900	28.7073	22.4691	83.0415	125.616	114.07	121.034	144.118	137.076	129.938	112.913	123.145	125.235	107.194	86.0011	57.7164	33.6244	36.4575	49.8265	79.0163	87.732	123.247	112.898	117.393	110.711
