time_points	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60	63
mal_mito_1	89.4384	84.8563	82.4512	46.4581	21.228	20.9582	14.2738	13.9965	13.0067	6.64544	11.7188	9.19856	14.1622	18.9162	63.8131	68.6462	106.779	163.62	426.361	631.674	141.835	1036.23
mal_mito_2	455.327	497.118	438.946	285.067	212.573	236.45	141.741	116.205	121.872	100.0603	159.658	101.198	102.984	130.288	339.956	470.591	1133.36	1241.35	3152.25	3280.98	1072.76	6163.22
mal_mito_3	509.005	549.521	485.886	278.17	193.113	145.114	100.9643	84.8014	88.1439	85.7136	110.492	76.3928	83.3996	118.017	333.919	505.75	1083.4	1494.67	3550.18	3525.23	943.211	4685.59
mal_rna_10	2291.52	4186	3302.09	2155.35	1983.44	472.512	1421.19	458.931	679.651	2063.84	519.378	509.712	1467.11	2531.67	4292.14	5893.31	11765.3	11180	13631.8	9547.75	5245.7	24671
mal_rna_11	2907.32	2357.7	3457.31	3508.67	2770.22	2321.67	1440.55	980.922	1073.68	782.692	943.883	698.377	916.05	2621.89	4473.55	3885.99	11871.2	8370.2	11840.9	8858.9	5335.06	23214.9
mal_rna_14	1768.7	2508.2	1914.73	3088	4173.01	3517.08	2517.85	1688	1845.67	1721.11	1592.1	1324.07	1628.25	2283.83	3776.99	5608.02	31363.6	9302.21	9900.48	7558.82	6191.38	18595.5
mal_rna_15	61208.6	49569.5	50790.1	33627.2	31572.5	31834.1	14218.9	12950.9	13719.8	7369.68	15277.5	12096.5	23006.8	37550.9	96464.1	142213	327542	153362	195941	122289	82762.7	414261
mal_rna_17	14520.8	20435.9	22343.1	20610.3	24724.3	9998.17	8609.52	5407.6	7630.68	8278.52	4797.91	3988	5129.03	10075.9	23237.2	37137.4	81473.6	67767.6	142651	130530	28055.8	132971
mal_rna_18	8157.21	11301.2	9344.85	5966.39	8281.65	3671.24	2579.55	2656.39	2074.75	3498.28	3256.54	3994.55	7411.48	12685.7	36125.5	45080.2	69023	42622.9	56007.7	38924.9	18047.8	75597.3
mal_rna_19	3762.08	5167.49	4179.79	3872.01	3363.44	1335.2	1670.77	1042.92	1195.46	1153.05	1467.81	3055.11	4549.82	6403.21	11460.1	14337.8	22843.8	14448.8	19100.4	15829.3	7361.16	28868.3
