Path is: working/3D7_microscopy_interpolated_PCHIP.csv
i	j	length	error
0	30	31	1.1325
0	31	32	1.0598
0	32	33	0.9765
0	33	34	0.8803
0	34	35	0.7735
0	35	36	0.6693
0	36	37	0.5859
0	37	38	0.5448
0	38	39	0.5376
0	39	40	0.5398
0	40	41	0.5859
0	41	42	0.6731
0	42	43	0.7642
0	43	44	0.8556
0	44	45	0.9481
0	45	46	1.0429
0	46	47	1.1377
0	47	48	1.2210
0	48	49	1.2912
0	49	50	1.3550
0	50	51	1.3854
0	51	52	1.3821
0	52	53	1.3805
0	53	54	1.3837
0	54	55	1.3912
0	55	56	1.3978
0	56	57	1.3986
0	57	58	1.3934
0	58	59	1.3871
0	59	60	1.3832
1	31	31	1.1325
1	32	32	1.0598
1	33	33	0.9765
1	34	34	0.8803
1	35	35	0.7735
1	36	36	0.6693
1	37	37	0.5859
1	38	38	0.5448
1	39	39	0.5376
1	40	40	0.5398
1	41	41	0.5859
1	42	42	0.6731
1	43	43	0.7642
1	44	44	0.8556
1	45	45	0.9481
1	46	46	1.0429
1	47	47	1.1377
1	48	48	1.2210
1	49	49	1.2912
1	50	50	1.3550
1	51	51	1.3854
1	52	52	1.3821
1	53	53	1.3805
1	54	54	1.3837
1	55	55	1.3912
1	56	56	1.3978
1	57	57	1.3986
1	58	58	1.3934
1	59	59	1.3871
1	60	60	1.3832
2	32	31	1.1325
2	33	32	1.0598
2	34	33	0.9765
2	35	34	0.8803
2	36	35	0.7735
2	37	36	0.6693
2	38	37	0.5859
2	39	38	0.5448
2	40	39	0.5376
2	41	40	0.5398
2	42	41	0.5859
2	43	42	0.6731
2	44	43	0.7642
2	45	44	0.8556
2	46	45	0.9481
2	47	46	1.0429
2	48	47	1.1377
2	49	48	1.2210
2	50	49	1.2912
2	51	50	1.3550
2	52	51	1.3854
2	53	52	1.3821
2	54	53	1.3805
2	55	54	1.3837
2	56	55	1.3912
2	57	56	1.3978
2	58	57	1.3986
2	59	58	1.3934
2	60	59	1.3871
3	33	31	1.1325
3	34	32	1.0598
3	35	33	0.9765
3	36	34	0.8803
3	37	35	0.7735
3	38	36	0.6693
3	39	37	0.5859
3	40	38	0.5448
3	41	39	0.5376
3	42	40	0.5398
3	43	41	0.5859
3	44	42	0.6731
3	45	43	0.7642
3	46	44	0.8556
3	47	45	0.9481
3	48	46	1.0429
3	49	47	1.1377
3	50	48	1.2210
3	51	49	1.2912
3	52	50	1.3550
3	53	51	1.3854
3	54	52	1.3821
3	55	53	1.3805
3	56	54	1.3837
3	57	55	1.3912
3	58	56	1.3978
3	59	57	1.3986
3	60	58	1.3934
4	34	31	1.1325
4	35	32	1.0598
4	36	33	0.9765
4	37	34	0.8803
4	38	35	0.7735
4	39	36	0.6693
4	40	37	0.5859
4	41	38	0.5448
4	42	39	0.5376
4	43	40	0.5398
4	44	41	0.5859
4	45	42	0.6731
4	46	43	0.7642
4	47	44	0.8556
4	48	45	0.9481
4	49	46	1.0429
4	50	47	1.1377
4	51	48	1.2210
4	52	49	1.2912
4	53	50	1.3550
4	54	51	1.3854
4	55	52	1.3821
4	56	53	1.3805
4	57	54	1.3837
4	58	55	1.3912
4	59	56	1.3978
4	60	57	1.3986
5	35	31	1.1325
5	36	32	1.0598
5	37	33	0.9765
5	38	34	0.8803
5	39	35	0.7735
5	40	36	0.6693
5	41	37	0.5859
5	42	38	0.5448
5	43	39	0.5376
5	44	40	0.5398
5	45	41	0.5859
5	46	42	0.6731
5	47	43	0.7642
5	48	44	0.8556
5	49	45	0.9481
5	50	46	1.0429
5	51	47	1.1377
5	52	48	1.2210
5	53	49	1.2912
5	54	50	1.3550
5	55	51	1.3854
5	56	52	1.3821
5	57	53	1.3805
5	58	54	1.3837
5	59	55	1.3912
5	60	56	1.3978
6	36	31	1.1325
6	37	32	1.0598
6	38	33	0.9765
6	39	34	0.8803
6	40	35	0.7735
6	41	36	0.6693
6	42	37	0.5859
6	43	38	0.5448
6	44	39	0.5376
6	45	40	0.5398
6	46	41	0.5859
6	47	42	0.6731
6	48	43	0.7642
6	49	44	0.8556
6	50	45	0.9481
6	51	46	1.0429
6	52	47	1.1377
6	53	48	1.2210
6	54	49	1.2912
6	55	50	1.3550
6	56	51	1.3854
6	57	52	1.3821
6	58	53	1.3805
6	59	54	1.3837
6	60	55	1.3912
7	37	31	1.1325
7	38	32	1.0598
7	39	33	0.9765
7	40	34	0.8803
7	41	35	0.7735
7	42	36	0.6693
7	43	37	0.5859
7	44	38	0.5448
7	45	39	0.5376
7	46	40	0.5398
7	47	41	0.5859
7	48	42	0.6731
7	49	43	0.7642
7	50	44	0.8556
7	51	45	0.9481
7	52	46	1.0429
7	53	47	1.1377
7	54	48	1.2210
7	55	49	1.2912
7	56	50	1.3550
7	57	51	1.3854
7	58	52	1.3821
7	59	53	1.3805
7	60	54	1.3837
8	38	31	1.1325
8	39	32	1.0598
8	40	33	0.9765
8	41	34	0.8803
8	42	35	0.7735
8	43	36	0.6693
8	44	37	0.5859
8	45	38	0.5448
8	46	39	0.5376
8	47	40	0.5398
8	48	41	0.5859
8	49	42	0.6731
8	50	43	0.7642
8	51	44	0.8556
8	52	45	0.9481
8	53	46	1.0429
8	54	47	1.1377
8	55	48	1.2210
8	56	49	1.2912
8	57	50	1.3550
8	58	51	1.3854
8	59	52	1.3821
8	60	53	1.3805
9	39	31	1.1325
9	40	32	1.0598
9	41	33	0.9765
9	42	34	0.8803
9	43	35	0.7735
9	44	36	0.6693
9	45	37	0.5859
9	46	38	0.5448
9	47	39	0.5376
9	48	40	0.5398
9	49	41	0.5859
9	50	42	0.6731
9	51	43	0.7642
9	52	44	0.8556
9	53	45	0.9481
9	54	46	1.0429
9	55	47	1.1377
9	56	48	1.2210
9	57	49	1.2912
9	58	50	1.3550
9	59	51	1.3854
9	60	52	1.3821
10	40	31	1.1325
10	41	32	1.0598
10	42	33	0.9765
10	43	34	0.8803
10	44	35	0.7735
10	45	36	0.6693
10	46	37	0.5859
10	47	38	0.5448
10	48	39	0.5376
10	49	40	0.5398
10	50	41	0.5859
10	51	42	0.6731
10	52	43	0.7642
10	53	44	0.8556
10	54	45	0.9481
10	55	46	1.0429
10	56	47	1.1377
10	57	48	1.2210
10	58	49	1.2912
10	59	50	1.3550
10	60	51	1.3854
11	41	31	1.1325
11	42	32	1.0598
11	43	33	0.9765
11	44	34	0.8803
11	45	35	0.7735
11	46	36	0.6693
11	47	37	0.5859
11	48	38	0.5448
11	49	39	0.5376
11	50	40	0.5398
11	51	41	0.5859
11	52	42	0.6731
11	53	43	0.7642
11	54	44	0.8556
11	55	45	0.9481
11	56	46	1.0429
11	57	47	1.1377
11	58	48	1.2210
11	59	49	1.2912
11	60	50	1.3550
12	42	31	1.1325
12	43	32	1.0598
12	44	33	0.9765
12	45	34	0.8803
12	46	35	0.7735
12	47	36	0.6693
12	48	37	0.5859
12	49	38	0.5448
12	50	39	0.5376
12	51	40	0.5398
12	52	41	0.5859
12	53	42	0.6731
12	54	43	0.7642
12	55	44	0.8556
12	56	45	0.9481
12	57	46	1.0429
12	58	47	1.1377
12	59	48	1.2210
12	60	49	1.2912
13	43	31	1.1325
13	44	32	1.0598
13	45	33	0.9765
13	46	34	0.8803
13	47	35	0.7735
13	48	36	0.6693
13	49	37	0.5859
13	50	38	0.5448
13	51	39	0.5376
13	52	40	0.5398
13	53	41	0.5859
13	54	42	0.6731
13	55	43	0.7642
13	56	44	0.8556
13	57	45	0.9481
13	58	46	1.0429
13	59	47	1.1377
13	60	48	1.2210
14	44	31	1.1325
14	45	32	1.0598
14	46	33	0.9765
14	47	34	0.8803
14	48	35	0.7735
14	49	36	0.6693
14	50	37	0.5859
14	51	38	0.5448
14	52	39	0.5376
14	53	40	0.5398
14	54	41	0.5859
14	55	42	0.6731
14	56	43	0.7642
14	57	44	0.8556
14	58	45	0.9481
14	59	46	1.0429
14	60	47	1.1377
15	45	31	1.1325
15	46	32	1.0598
15	47	33	0.9765
15	48	34	0.8803
15	49	35	0.7735
15	50	36	0.6693
15	51	37	0.5859
15	52	38	0.5448
15	53	39	0.5376
15	54	40	0.5398
15	55	41	0.5859
15	56	42	0.6731
15	57	43	0.7642
15	58	44	0.8556
15	59	45	0.9481
15	60	46	1.0429
16	46	31	1.1325
16	47	32	1.0598
16	48	33	0.9765
16	49	34	0.8803
16	50	35	0.7735
16	51	36	0.6693
16	52	37	0.5859
16	53	38	0.5448
16	54	39	0.5376
16	55	40	0.5398
16	56	41	0.5859
16	57	42	0.6731
16	58	43	0.7642
16	59	44	0.8556
16	60	45	0.9481
17	47	31	1.1325
17	48	32	1.0598
17	49	33	0.9765
17	50	34	0.8803
17	51	35	0.7735
17	52	36	0.6693
17	53	37	0.5859
17	54	38	0.5448
17	55	39	0.5376
17	56	40	0.5398
17	57	41	0.5859
17	58	42	0.6731
17	59	43	0.7642
17	60	44	0.8556
18	48	31	1.1325
18	49	32	1.0598
18	50	33	0.9765
18	51	34	0.8803
18	52	35	0.7735
18	53	36	0.6693
18	54	37	0.5859
18	55	38	0.5448
18	56	39	0.5376
18	57	40	0.5398
18	58	41	0.5859
18	59	42	0.6731
18	60	43	0.7642
19	49	31	1.1325
19	50	32	1.0598
19	51	33	0.9765
19	52	34	0.8803
19	53	35	0.7735
19	54	36	0.6693
19	55	37	0.5859
19	56	38	0.5448
19	57	39	0.5376
19	58	40	0.5398
19	59	41	0.5859
19	60	42	0.6731
20	50	31	1.1325
20	51	32	1.0598
20	52	33	0.9765
20	53	34	0.8803
20	54	35	0.7735
20	55	36	0.6693
20	56	37	0.5859
20	57	38	0.5448
20	58	39	0.5376
20	59	40	0.5398
20	60	41	0.5859
21	51	31	1.1325
21	52	32	1.0598
21	53	33	0.9765
21	54	34	0.8803
21	55	35	0.7735
21	56	36	0.6693
21	57	37	0.5859
21	58	38	0.5448
21	59	39	0.5376
21	60	40	0.5398
22	52	31	1.1325
22	53	32	1.0598
22	54	33	0.9765
22	55	34	0.8803
22	56	35	0.7735
22	57	36	0.6693
22	58	37	0.5859
22	59	38	0.5448
22	60	39	0.5376
23	53	31	1.1325
23	54	32	1.0598
23	55	33	0.9765
23	56	34	0.8803
23	57	35	0.7735
23	58	36	0.6693
23	59	37	0.5859
23	60	38	0.5448
24	54	31	1.1325
24	55	32	1.0598
24	56	33	0.9765
24	57	34	0.8803
24	58	35	0.7735
24	59	36	0.6693
24	60	37	0.5859
25	55	31	1.1325
25	56	32	1.0598
25	57	33	0.9765
25	58	34	0.8803
25	59	35	0.7735
25	60	36	0.6693
26	56	31	1.1325
26	57	32	1.0598
26	58	33	0.9765
26	59	34	0.8803
26	60	35	0.7735
27	57	31	1.1325
27	58	32	1.0598
27	59	33	0.9765
27	60	34	0.8803
28	58	31	1.1325
28	59	32	1.0598
28	60	33	0.9765
29	59	31	1.1325
29	60	32	1.0598
30	60	31	1.1325
Min 3D7 error achieved with (0, 38): 0.538
Period length: 39
