Path is: working/D6_microscopy_interpolated_PCHIP.csv
i	j	length	error
0	34	35	19.6464
0	35	36	17.5343
0	36	37	22.8317
0	37	38	30.8205
0	38	39	38.8404
0	39	40	46.2817
0	40	41	53.2185
0	41	42	59.7557
0	42	43	65.9960
0	43	44	72.0225
0	44	45	77.8941
0	45	46	83.7009
0	46	47	89.5140
0	47	48	95.2651
0	48	49	100.8613
0	49	50	105.8347
0	50	51	109.4154
0	51	52	111.9090
0	52	53	114.3791
0	53	54	116.8138
0	54	55	118.9713
0	55	56	121.2813
0	56	57	123.5407
0	57	58	125.1275
0	58	59	126.1074
0	59	60	126.4460
0	60	61	126.3724
0	61	62	126.1514
0	62	63	125.7903
0	63	64	125.2185
0	64	65	124.0496
0	65	66	121.6182
0	66	67	117.1477
0	67	68	111.7104
0	68	69	108.2012
1	35	35	19.6464
1	36	36	17.5343
1	37	37	22.8317
1	38	38	30.8205
1	39	39	38.8404
1	40	40	46.2817
1	41	41	53.2185
1	42	42	59.7557
1	43	43	65.9960
1	44	44	72.0225
1	45	45	77.8941
1	46	46	83.7009
1	47	47	89.5140
1	48	48	95.2651
1	49	49	100.8613
1	50	50	105.8347
1	51	51	109.4154
1	52	52	111.9090
1	53	53	114.3791
1	54	54	116.8138
1	55	55	118.9713
1	56	56	121.2813
1	57	57	123.5407
1	58	58	125.1275
1	59	59	126.1074
1	60	60	126.4460
1	61	61	126.3724
1	62	62	126.1514
1	63	63	125.7903
1	64	64	125.2185
1	65	65	124.0496
1	66	66	121.6182
1	67	67	117.1477
1	68	68	111.7104
1	69	69	108.2012
2	36	35	19.6464
2	37	36	17.5343
2	38	37	22.8317
2	39	38	30.8205
2	40	39	38.8404
2	41	40	46.2817
2	42	41	53.2185
2	43	42	59.7557
2	44	43	65.9960
2	45	44	72.0225
2	46	45	77.8941
2	47	46	83.7009
2	48	47	89.5140
2	49	48	95.2651
2	50	49	100.8613
2	51	50	105.8347
2	52	51	109.4154
2	53	52	111.9090
2	54	53	114.3791
2	55	54	116.8138
2	56	55	118.9713
2	57	56	121.2813
2	58	57	123.5407
2	59	58	125.1275
2	60	59	126.1074
2	61	60	126.4460
2	62	61	126.3724
2	63	62	126.1514
2	64	63	125.7903
2	65	64	125.2185
2	66	65	124.0496
2	67	66	121.6182
2	68	67	117.1477
2	69	68	111.7104
3	37	35	19.6464
3	38	36	17.5343
3	39	37	22.8317
3	40	38	30.8205
3	41	39	38.8404
3	42	40	46.2817
3	43	41	53.2185
3	44	42	59.7557
3	45	43	65.9960
3	46	44	72.0225
3	47	45	77.8941
3	48	46	83.7009
3	49	47	89.5140
3	50	48	95.2651
3	51	49	100.8613
3	52	50	105.8347
3	53	51	109.4154
3	54	52	111.9090
3	55	53	114.3791
3	56	54	116.8138
3	57	55	118.9713
3	58	56	121.2813
3	59	57	123.5407
3	60	58	125.1275
3	61	59	126.1074
3	62	60	126.4460
3	63	61	126.3724
3	64	62	126.1514
3	65	63	125.7903
3	66	64	125.2185
3	67	65	124.0496
3	68	66	121.6182
3	69	67	117.1477
4	38	35	19.6464
4	39	36	17.5343
4	40	37	22.8317
4	41	38	30.8205
4	42	39	38.8404
4	43	40	46.2817
4	44	41	53.2185
4	45	42	59.7557
4	46	43	65.9960
4	47	44	72.0225
4	48	45	77.8941
4	49	46	83.7009
4	50	47	89.5140
4	51	48	95.2651
4	52	49	100.8613
4	53	50	105.8347
4	54	51	109.4154
4	55	52	111.9090
4	56	53	114.3791
4	57	54	116.8138
4	58	55	118.9713
4	59	56	121.2813
4	60	57	123.5407
4	61	58	125.1275
4	62	59	126.1074
4	63	60	126.4460
4	64	61	126.3724
4	65	62	126.1514
4	66	63	125.7903
4	67	64	125.2185
4	68	65	124.0496
4	69	66	121.6182
5	39	35	19.6464
5	40	36	17.5343
5	41	37	22.8317
5	42	38	30.8205
5	43	39	38.8404
5	44	40	46.2817
5	45	41	53.2185
5	46	42	59.7557
5	47	43	65.9960
5	48	44	72.0225
5	49	45	77.8941
5	50	46	83.7009
5	51	47	89.5140
