Path is: working/FVO_microscopy_interpolated_PCHIP.csv
i	j	length	error
0	34	35	71.7395
0	35	36	66.2451
0	36	37	60.3858
0	37	38	54.0982
0	38	39	47.3203
0	39	40	39.7136
0	40	41	31.3898
0	41	42	23.6484
0	42	43	19.3564
0	43	44	21.7323
0	44	45	28.2226
0	45	46	35.0991
0	46	47	40.2456
0	47	48	42.2520
0	48	49	42.1362
0	49	50	42.1200
0	50	51	43.1835
0	51	52	45.3063
0	52	53	47.7010
0	53	54	49.8850
0	54	55	51.8772
0	55	56	53.7083
0	56	57	55.1112
0	57	58	56.0826
0	58	59	57.2021
0	59	60	59.0044
0	60	61	61.4320
0	61	62	64.2467
0	62	63	67.4338
0	63	64	71.1131
0	64	65	75.9958
0	65	66	83.2684
0	66	67	94.5129
0	67	68	111.2846
0	68	69	126.1031
1	35	35	71.7395
1	36	36	66.2451
1	37	37	60.3858
1	38	38	54.0982
1	39	39	47.3203
1	40	40	39.7136
1	41	41	31.3898
1	42	42	23.6484
1	43	43	19.3564
1	44	44	21.7323
1	45	45	28.2226
1	46	46	35.0991
1	47	47	40.2456
1	48	48	42.2520
1	49	49	42.1362
1	50	50	42.1200
1	51	51	43.1835
1	52	52	45.3063
1	53	53	47.7010
1	54	54	49.8850
1	55	55	51.8772
1	56	56	53.7083
1	57	57	55.1112
1	58	58	56.0826
1	59	59	57.2021
1	60	60	59.0044
1	61	61	61.4320
1	62	62	64.2467
1	63	63	67.4338
1	64	64	71.1131
1	65	65	75.9958
1	66	66	83.2684
1	67	67	94.5129
1	68	68	111.2846
1	69	69	126.1031
2	36	35	71.7395
2	37	36	66.2451
2	38	37	60.3858
2	39	38	54.0982
2	40	39	47.3203
2	41	40	39.7136
2	42	41	31.3898
2	43	42	23.6484
2	44	43	19.3564
2	45	44	21.7323
2	46	45	28.2226
2	47	46	35.0991
2	48	47	40.2456
2	49	48	42.2520
2	50	49	42.1362
2	51	50	42.1200
2	52	51	43.1835
2	53	52	45.3063
2	54	53	47.7010
2	55	54	49.8850
2	56	55	51.8772
2	57	56	53.7083
2	58	57	55.1112
2	59	58	56.0826
2	60	59	57.2021
2	61	60	59.0044
2	62	61	61.4320
2	63	62	64.2467
2	64	63	67.4338
2	65	64	71.1131
2	66	65	75.9958
2	67	66	83.2684
2	68	67	94.5129
2	69	68	111.2846
3	37	35	71.7395
3	38	36	66.2451
3	39	37	60.3858
3	40	38	54.0982
3	41	39	47.3203
3	42	40	39.7136
3	43	41	31.3898
3	44	42	23.6484
3	45	43	19.3564
3	46	44	21.7323
3	47	45	28.2226
3	48	46	35.0991
3	49	47	40.2456
3	50	48	42.2520
3	51	49	42.1362
3	52	50	42.1200
3	53	51	43.1835
3	54	52	45.3063
3	55	53	47.7010
3	56	54	49.8850
3	57	55	51.8772
3	58	56	53.7083
3	59	57	55.1112
3	60	58	56.0826
3	61	59	57.2021
3	62	60	59.0044
3	63	61	61.4320
3	64	62	64.2467
3	65	63	67.4338
3	66	64	71.1131
3	67	65	75.9958
3	68	66	83.2684
3	69	67	94.5129
4	38	35	71.7395
4	39	36	66.2451
4	40	37	60.3858
4	41	38	54.0982
4	42	39	47.3203
4	43	40	39.7136
4	44	41	31.3898
4	45	42	23.6484
4	46	43	19.3564
4	47	44	21.7323
4	48	45	28.2226
4	49	46	35.0991
4	50	47	40.2456
4	51	48	42.2520
4	52	49	42.1362
4	53	50	42.1200
4	54	51	43.1835
4	55	52	45.3063
4	56	53	47.7010
4	57	54	49.8850
4	58	55	51.8772
4	59	56	53.7083
4	60	57	55.1112
4	61	58	56.0826
4	62	59	57.2021
4	63	60	59.0044
4	64	61	61.4320
4	65	62	64.2467
4	66	63	67.4338
4	67	64	71.1131
4	68	65	75.9958
4	69	66	83.2684
5	39	35	71.7395
5	40	36	66.2451
5	41	37	60.3858
5	42	38	54.0982
5	43	39	47.3203
5	44	40	39.7136
5	45	41	31.3898
5	46	42	23.6484
5	47	43	19.3564
5	48	44	21.7323
5	49	45	28.2226
5	50	46	35.0991
5	51	47	40.2456
5	52	48	42.2520
5	53	49	42.1362
5	54	50	42.1200
5	55	51	43.1835
5	56	52	45.3063
5	57	53	47.7010
5	58	54	49.8850
5	59	55	51.8772
5	60	56	53.7083
5	61	57	55.1112
5	62	58	56.0826
5	63	59	57.2021
5	64	60	59.0044
5	65	61	61.4320
5	66	62	64.2467
5	67	63	67.4338
5	68	64	71.1131
5	69	65	75.9958
6	40	35	71.7395
6	41	36	66.2451
6	42	37	60.3858
6	43	38	54.0982
6	44	39	47.3203
6	45	40	39.7136
6	46	41	31.3898
6	47	42	23.6484
6	48	43	19.3564
6	49	44	21.7323
6	50	45	28.2226
6	51	46	35.0991
6	52	47	40.2456
6	53	48	42.2520
6	54	49	42.1362
6	55	50	42.1200
6	56	51	43.1835
6	57	52	45.3063
6	58	53	47.7010
6	59	54	49.8850
6	60	55	51.8772
6	61	56	53.7083
