Path is: working/SA250_microscopy_interpolated_PCHIP.csv
i	j	length	error
0	31	32	115.8804
0	32	33	113.8402
0	33	34	111.4473
0	34	35	108.7055
0	35	36	105.5376
0	36	37	101.8498
0	37	38	98.7039
0	38	39	96.8908
0	39	40	95.7287
0	40	41	94.5001
0	41	42	92.7706
0	42	43	90.3516
0	43	44	87.5363
0	44	45	84.5133
0	45	46	81.1491
0	46	47	77.2334
0	47	48	72.4910
0	48	49	66.5628
0	49	50	59.2947
0	50	51	51.2471
0	51	52	43.7633
0	52	53	38.4296
0	53	54	36.3987
0	54	55	38.0793
0	55	56	42.7716
0	56	57	49.0034
0	57	58	56.1691
0	58	59	63.1384
0	59	60	67.8100
0	60	61	69.5203
0	61	62	78.0883
0	62	63	90.7520
1	32	32	115.8804
1	33	33	113.8402
1	34	34	111.4473
1	35	35	108.7055
1	36	36	105.5376
1	37	37	101.8498
1	38	38	98.7039
1	39	39	96.8908
1	40	40	95.7287
1	41	41	94.5001
1	42	42	92.7706
1	43	43	90.3516
1	44	44	87.5363
1	45	45	84.5133
1	46	46	81.1491
1	47	47	77.2334
1	48	48	72.4910
1	49	49	66.5628
1	50	50	59.2947
1	51	51	51.2471
1	52	52	43.7633
1	53	53	38.4296
1	54	54	36.3987
1	55	55	38.0793
1	56	56	42.7716
1	57	57	49.0034
1	58	58	56.1691
1	59	59	63.1384
1	60	60	67.8100
1	61	61	69.5203
1	62	62	78.0883
1	63	63	90.7520
2	33	32	115.8804
2	34	33	113.8402
2	35	34	111.4473
2	36	35	108.7055
2	37	36	105.5376
2	38	37	101.8498
2	39	38	98.7039
2	40	39	96.8908
2	41	40	95.7287
2	42	41	94.5001
2	43	42	92.7706
2	44	43	90.3516
2	45	44	87.5363
2	46	45	84.5133
2	47	46	81.1491
2	48	47	77.2334
2	49	48	72.4910
2	50	49	66.5628
2	51	50	59.2947
2	52	51	51.2471
2	53	52	43.7633
2	54	53	38.4296
2	55	54	36.3987
2	56	55	38.0793
2	57	56	42.7716
2	58	57	49.0034
2	59	58	56.1691
2	60	59	63.1384
2	61	60	67.8100
2	62	61	69.5203
2	63	62	78.0883
3	34	32	115.8804
3	35	33	113.8402
3	36	34	111.4473
3	37	35	108.7055
3	38	36	105.5376
3	39	37	101.8498
3	40	38	98.7039
3	41	39	96.8908
3	42	40	95.7287
3	43	41	94.5001
3	44	42	92.7706
3	45	43	90.3516
3	46	44	87.5363
3	47	45	84.5133
3	48	46	81.1491
3	49	47	77.2334
3	50	48	72.4910
3	51	49	66.5628
3	52	50	59.2947
3	53	51	51.2471
3	54	52	43.7633
3	55	53	38.4296
3	56	54	36.3987
3	57	55	38.0793
3	58	56	42.7716
3	59	57	49.0034
3	60	58	56.1691
3	61	59	63.1384
3	62	60	67.8100
3	63	61	69.5203
4	35	32	115.8804
4	36	33	113.8402
4	37	34	111.4473
4	38	35	108.7055
4	39	36	105.5376
4	40	37	101.8498
4	41	38	98.7039
4	42	39	96.8908
4	43	40	95.7287
4	44	41	94.5001
4	45	42	92.7706
4	46	43	90.3516
4	47	44	87.5363
4	48	45	84.5133
4	49	46	81.1491
4	50	47	77.2334
4	51	48	72.4910
4	52	49	66.5628
4	53	50	59.2947
4	54	51	51.2471
4	55	52	43.7633
4	56	53	38.4296
4	57	54	36.3987
4	58	55	38.0793
4	59	56	42.7716
4	60	57	49.0034
4	61	58	56.1691
4	62	59	63.1384
