,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
PF3D7_1460800,3.400585,2.91788520414,2.33617935207,2.0537665,2.082290323205,2.16206647974,2.284402,2.81792506145,3.813970425845,4.787905,5.61359374147,6.470444828730001,7.332139999999999,8.215966729705,9.145277153185,10.10285,11.0478383262,12.0268842291,13.154,14.812460392950001,16.7380953623,18.073749999999997,18.7014630529,19.330087082000002,19.578,19.1211167971,18.0499002609,16.8135,15.3595353085,13.6188876751,12.0156,10.6265458562,9.34349842063,8.31285,7.552486655289999,6.9260265179,6.34846,5.816867412560001,5.3243189833999995
PF3D7_1454500,345.05050000000006,319.5966233845,277.5350137205,246.24900000000002,231.2057702495,218.873833444,208.13850000000002,197.1343039765,185.1913934805,172.9885,158.5930080915,142.444876945,128.7817,113.97220962310001,96.7068094889,84.7056,78.5044256169,73.8783717,71.4064,70.44789925570001,69.9270051834,69.7698,68.4229939,70.9207100221,74.2073,79.30374156229999,86.9250870466,95.8955,107.04046098,120.58331004600001,134.445,147.780287386,161.459067218,175.975,191.36601201599998,207.761204415,225.791,251.65095767900002,279.711867728
PF3D7_0315400,7.66464,6.308035501145,4.850605250575,4.169805,5.379325567715,8.264911690990001,11.7121,16.516567834299998,22.451934594,26.87065,29.132074202800005,30.984138648200002,33.36215,37.741127864999996,43.8126254903,49.83675,55.122068893450006,60.38116090255001,65.98015,73.60539571075,82.2497776664,88.23920000000001,89.6874224696,92.54717790149999,93.6668,89.8140184766,80.9703258422,71.2077,59.234548500699994,45.927707986899996,38.6118,37.3658024741,36.6868279768,35.5267,30.8198212648,23.3668071202,17.9188,15.6257186262,13.9790302281
PF3D7_1035800,21.9308,55.7279374184,114.9470768255,183.752,287.7763854745,409.39216495949995,467.8705,446.495650256,398.9133560675,349.937,282.670372839,192.3336075575,121.91459999999998,76.45983170139999,38.9744367891,19.38429,13.349513645915,9.462752502135,7.048665,5.30413051458,3.989176831945,3.273185,3.1898938715599994,3.08701125081,2.94331,2.57459098737,2.10428304924,1.872036,2.05323958507,2.49841739236,3.05992,4.07298312485,5.38566278268,6.11954,6.2160701644000005,6.26610499152,6.36532,6.9740344189100005,8.52154643425
PF3D7_0731100,1736.71,1601.201007185,1379.37178734,1179.5625,1034.6665998830001,903.626211693,783.8544999999999,660.8402053865,535.186678722,426.979,337.9956630665,259.8392559695,197.33100000000002,145.44555106035,101.08307321519999,71.95305,55.5845402261,43.64376471085001,35.04595,27.964710175550003,22.29037621335,19.51325,18.6673162966,20.2817770376,22.5762,27.524706649000002,36.004695521100004,46.0468,57.8952740343,72.6416546839,89.5875,107.513915581,128.933933163,158.747,207.64464809999998,285.132024721,394.329,699.09558429,1132.99456992
PF3D7_0530200,16.570405,11.950674669795001,6.215226738135,3.365915,3.3073865853099997,3.2787397548649997,3.283505,4.058987335745,5.9439998181350004,8.344335,11.92888818509,17.269948670684997,23.6284,32.05453975455,42.6642853321,53.316950000000006,63.4011077292,73.6615130346,83.99175,94.7557411951,105.606556286,115.3715,131.433109083,149.276554541,157.50799999999998,154.368634934,146.929936534,138.161,127.42991412100001,114.176621932,101.478,90.3883145377,79.7826254844,69.469,58.5530761266,47.9061775733,39.9849,35.465567663200005,32.070369901999996
PF3D7_1401500,94.21855,128.1376151105,171.16155091299999,217.8825,289.9351125595,374.75327850249994,415.628,391.5224883955,337.405199013,280.57500000000005,219.645526948,151.922596859,102.74334999999999,73.61612491555,50.8572277129,37.01575,29.9709360257,25.047180339300002,20.9613,16.88072825415,13.2497456057,10.70044,10.2020147383,8.77173976721,7.68383,6.7112075433200005,5.90336877166,5.56613,5.8241315044599995,6.36924856447,6.85815,7.1134296651,7.33090273246,7.727069999999999,11.0797705804,19.0463791828,30.1627,56.61866511,97.03128911629999
PF3D7_0102600,19.351,29.168876041750003,44.329936467,65.689,123.5920758055,206.8729262805,254.118,261.720721302,266.318441582,266.86350000000004,226.0867653985,146.651648214,87.4093,60.6356039473,40.306061146800005,27.82125,20.25983296765,14.21410317055,10.355084999999999,8.11004724613,6.457982310145001,5.3975,5.46143068495,4.98813224423,4.54076,3.9589545013699996,3.39956947291,3.14938,3.27796814487,3.54815628975,3.7865800000000003,3.9077232103099995,4.00874196636,4.1902800000000004,5.61972293897,8.540362155910001,11.6667,14.2199049054,17.0369400725
PF3D7_1437400,4.955065,5.822666312395,7.302947813045,8.750135,9.88065427803,10.98858898085,12.29465,14.16915774145,16.38810249995,18.2807,19.6361532497,20.8536315356,22.177300000000002,24.3634309321,27.0882272412,28.975749999999998,29.95967142585,30.798266401999996,31.3525,31.2656942664,30.721361022099998,30.390749999999997,32.3076598897,29.4247864461,26.3843,23.410458263200002,20.2445850844,17.6058,15.685709920699999,14.0684650804,12.562000000000001,10.837965573499998,9.20478249829,8.42554,8.36388007463,8.33365512787,8.27327,7.5436143237,6.289107717409999
PF3D7_0503100,3.55689,3.49168483281,3.4993335585249996,3.64812,4.25847033386,5.373255174175,6.644425,8.167750921265,9.95196296814,11.51845,12.707892399450001,13.858132036099999,15.2363,17.62262611955,20.62953502295,22.77245,23.725690072299997,24.40653518205,25.19485,26.7041316094,28.5178657328,29.4709,31.0640408704,30.278281740700002,29.1889,26.7753084709,23.0348062196,19.6744,17.1959349828,14.981729489600001,13.0595,11.3260139661,9.78773637301,8.63693,7.87292180855,7.277253508089999,6.715510000000001,6.106364215809999,5.526149194809999
PF3D7_0936000,2872.2000000000003,3008.9442540200002,3144.4171853000003,3098.8050000000003,2794.223687205,2361.839713205,1935.415,1504.42935824,1052.8137890205,706.0070000000001,466.40890592950007,272.943253886,155.8345,92.90571440164999,46.509675090600005,23.665399999999998,16.644082362185003,12.211276059265,9.12754,6.392042481835,4.210708053385,3.15423,2.07345030756,1.98846365378,1.9595029999999998,2.39870104796,3.62015398482,5.47965,13.0810195865,26.966280094600002,40.1485,48.4840444908,56.2341295842,69.0191,111.73360709299999,196.20085108599997,308.434,487.61875594099996,755.184518072
PF3D7_1149100,24.02655,34.307488899,50.735594843550004,69.56700000000001,90.2826347164,114.9246479985,143.591,181.7306685635,226.646109519,266.2155,301.7680742565,334.8819212095,353.8085,361.48399355099997,366.83431082000004,367.0955,358.2493269775,341.5549487115,322.1645,297.2739938775,266.615002645,239.14300000000003,228.68684804,179.94364920299998,140.298,113.36830118,91.17849717040001,72.5675,55.0419354693,39.7202085439,30.8589,27.4377186142,25.1699410692,23.4125,21.6291095024,20.1154714179,19.4765,20.304446176600003,22.5604367977
PF3D7_1205500,549.5395,406.99935545700004,273.43985632700003,201.77100000000002,181.59893130350002,164.70021980500002,147.2405,125.535859443,102.0196494146,82.0334,65.28856514245,50.59812522665,41.9559,37.89183571865,34.835267859300004,33.6291,35.624483335250005,40.36946667045,46.0023,54.42724650105001,66.079254119,76.8926,86.70471578120001,105.69590646,124.494,144.028161947,163.37533214200002,176.87900000000002,183.455916458,188.095224142,194.24900000000002,202.40895890299998,214.03911629799998,234.05,628.653965686,1334.42142729,1711.8,1531.24975571,1148.89106699
PF3D7_1345700,19.98135,20.88822472415,22.3027586862,23.93545,26.7824855411,31.2483637304,36.15605,41.359980766199996,47.17778122995,53.1272,59.5172960159,66.4778181699,73.25755,81.39126270874999,90.76132129695,98.1379,102.94472408440001,106.815194721,109.834,112.80510828050001,115.57685969549999,116.8005,122.74102057299999,116.00581892299999,108.81700000000001,102.41502656899999,95.43482596700001,87.2707,74.38640808619999,59.540374871000004,51.5689,50.5332894711,49.989387264799994,49.0153,44.292292591999995,36.4430480202,30.4578,27.228459775900003,24.702611889
PF3D7_0918200,11.492894999999999,9.21757182892,5.618207098595,3.64193,3.487000385505,3.45218202816,3.6353600000000004,4.94086261178,7.605557783255,10.726140000000001,14.4228595894,18.98006546685,23.7406,29.01897981235,34.7084176356,39.519800000000004,43.0647090704,46.1879958219,49.450450000000004,53.25692020785,57.4446229891,61.722899999999996,73.7106150141,87.15968528479999,93.7002,92.0441701742,87.8401403484,82.2342,70.8816812523,54.6975841384,42.7175,36.852470925,32.4693844298,28.7876,25.137800049000003,21.930231366100003,20.0036,19.3236896851,18.9096642757
PF3D7_0208600,6.656409999999999,5.50775463954,4.346375831095,3.782616,3.80037640963,3.959317397465001,4.23342,5.9867693139450004,9.59320723541,13.54135,17.546168637450002,22.05907576515,26.67335,31.7733440979,36.9870821998,40.77335,43.109986568950006,45.07152677295,46.7618,49.08484045685,52.33762566845,55.7134,63.1227345558,71.9380172779,76.1171,71.6489068446,62.0427581337,52.9963,45.7816148826,39.0166614102,34.4179,32.1740169723,30.6054307713,28.6262,25.2321348622,21.0426031837,17.407,14.6803021053,12.3061357157
PF3D7_1427300,8.193105,6.387119893025,4.342581550105,3.357855,3.2561512991149995,3.0913669165249997,3.0078949999999995,3.46464338941,4.567839312749999,5.932855,7.7393463569000005,10.275449061004998,13.319255,17.651481607250002,23.110703868399998,28.0618,32.10803300285,35.82493769085,39.035799999999995,41.967510531049996,44.597618996499996,46.3754,46.7940311591,47.806910024,48.2039,48.177258216000006,48.0984608765,47.9692,45.1420533367,39.2543479881,33.7349,29.3388930413,25.234339833000003,22.4693,21.1333246421,20.2030581313,19.0572,17.374273453900003,15.304449639400001
PF3D7_1470800,6.99953,5.442996759890001,3.60612032439,2.720205,2.76045978196,2.872827897255,3.044715,3.733279606735,5.090411892695,6.645615,8.377839364495,10.454278463215001,12.686800000000002,15.0685883146,17.693964191150002,20.5265,23.5760859614,26.8891453237,30.484050000000003,34.8644475139,39.7027886027,43.77065,46.5365055326,51.766641655200004,54.1176,54.051598234,53.8588853568,53.5474,49.859069882,42.4979789103,35.9153,31.469925208899998,27.5449383564,24.1278,21.098594093699997,18.4122952469,16.1687,14.4944995289,13.0857510135
