gene,expr,timepoint
PF3D7_1460800,19.578000,24
PF3D7_1454500,292.867000,39
PF3D7_0315400,93.666800,24
PF3D7_1035800,490.193000,6
PF3D7_1035800,445.548000,45
PF3D7_0731100,1353.700000,39
PF3D7_0530200,157.508000,24
PF3D7_1401500,470.007000,6
PF3D7_1401500,361.249000,45
PF3D7_0102600,273.013000,6
PF3D7_0102600,266.377000,48
PF3D7_1437400,33.589400,21
PF3D7_1437400,30.548200,57
PF3D7_0503100,31.366000,21
PF3D7_0936000,2431.260000,42
PF3D7_1149100,377.735000,15
PF3D7_1149100,367.871000,51
PF3D7_1205500,1711.800000,36
PF3D7_1345700,125.720000,21
PF3D7_1345700,110.577000,57
PF3D7_0918200,93.700200,24
PF3D7_0208600,76.117100,24
PF3D7_1427300,48.203900,24
PF3D7_1470800,54.117600,24
PF3D7_0727500,29.726000,21
PF3D7_0724600,37.434900,27
PF3D7_1477000,269.048000,6
PF3D7_1477000,211.536000,45
PF3D7_1325800,43.302800,15
PF3D7_1325800,40.069100,51
PF3D7_1136500,1717.010000,36
PF3D7_1427900,775.085000,24
PF3D7_1201200,2049.470000,39
PF3D7_0705500,385.008000,30
PF3D7_0705500,483.939000,39
PF3D7_0320000,248.958000,24
PF3D7_1355100,238.272000,27
PF3D7_1417800,225.118000,24
PF3D7_0202200,1748.420000,39
PF3D7_1333000,99.219000,15
PF3D7_1333000,14.877700,33
PF3D7_1333000,90.373200,54
PF3D7_1319400,140.987000,27
PF3D7_1249500,106.324000,21
PF3D7_1147300,96.894500,24
PF3D7_1118200,278.735000,12
PF3D7_1118200,238.709000,51
PF3D7_0525700,96.208700,24
PF3D7_0525700,32.946500,33
PF3D7_0424900,480.603000,42
PF3D7_1119000,79.576200,21
PF3D7_1119000,71.695200,57
PF3D7_0211200,63.625500,24
PF3D7_1345400,59.316900,24
PF3D7_1021000,59.070500,24
PF3D7_1025300,54.056200,21
PF3D7_1025300,51.277000,57
PF3D7_1308800,70.497600,27
PF3D7_1413400,46.106200,24
PF3D7_0831000,131.422000,9
PF3D7_0831000,115.342000,45
PF3D7_1343500,40.413100,24
PF3D7_0717900,53.874300,12
PF3D7_0717900,40.576400,48
PF3D7_1364600,39.150000,24
PF3D7_0221500,177.736000,12
PF3D7_0221500,2.521150,30
PF3D7_0221500,160.152000,48
PF3D7_1425200,17.263400,21
PF3D7_1425200,3.383790,39
PF3D7_1425200,14.306400,57
PF3D7_0424400,5.989470,39
PF3D7_1370300,8468.800000,42
PF3D7_0821400,4010.080000,36
PF3D7_1134000,732.940000,12
PF3D7_1134000,735.707000,18
PF3D7_1134000,756.436000,51
PF3D7_0721100,643.965000,21
PF3D7_1428200,356.768000,36
PF3D7_1132300,159.669000,21
PF3D7_1132300,131.151000,57
PF3D7_0708700,150.255000,27
PF3D7_1419800,140.080000,21
PF3D7_0208500,98.917900,21
PF3D7_1303000,169.673000,21
PF3D7_1303000,104.638000,54
PF3D7_1478000,600.898000,39
PF3D7_0601200,1118.220000,12
PF3D7_0601200,14.087700,30
PF3D7_0601200,23.150700,36
PF3D7_0601200,863.944000,48
PF3D7_0827500,100.055500,24
PF3D7_0715800,97.338200,24
PF3D7_1305000,71.939500,27
PF3D7_0201700,666.627000,39
PF3D7_0709100,83.042400,24
PF3D7_0221200,218.346000,12
PF3D7_0221200,178.779000,51
PF3D7_0210200,68.527800,27
PF3D7_0425200,791.983000,36
PF3D7_0713300,732.892000,42
PF3D7_1303100,84.478300,21
PF3D7_1303100,66.432400,57
PF3D7_1229600,43.936200,24
PF3D7_0925300,63.806300,24
PF3D7_1202400,53.153800,21
PF3D7_0309200,68.423200,27
PF3D7_1368700,45.905800,21
PF3D7_1368700,45.499700,27
PF3D7_0604700,63.655700,24
PF3D7_0604700,11.583900,39
PF3D7_0921700,4.922170,3
PF3D7_0921700,58.629200,24
PF3D7_0827600,39.776400,24
PF3D7_0208100,72.220700,24
PF3D7_0520800,44.849400,21
PF3D7_1339900,27.551200,24
PF3D7_1201100,261.526000,9
PF3D7_1201100,216.002000,48
PF3D7_0107800,31.681800,21
PF3D7_0107800,26.547700,57
PF3D7_1241600,32.361600,24
PF3D7_1241600,5.154740,39
PF3D7_0103900,52.205500,21
PF3D7_0103900,47.048700,57
PF3D7_1106200,17.616700,21
PF3D7_1106200,5.486530,36
PF3D7_1430600,17.415200,21
PF3D7_1430600,14.781400,57
PF3D7_0831100,4.854310,6
PF3D7_0831100,4.224330,45
PF3D7_0114800,27.904100,9
PF3D7_0114800,1.155118,33
PF3D7_0114800,20.178000,48
PF3D7_1102800,53880.700000,39
PF3D7_0716300,1152.160000,24
PF3D7_1358700,530.846000,33
PF3D7_0936300,1802.780000,42
PF3D7_0606000,194.209000,30
PF3D7_0606000,578.932000,39
PF3D7_1321800,431.390000,39
PF3D7_1414000,221.977000,27
PF3D7_1439500,779.482000,36
PF3D7_0934400,108.381000,27
PF3D7_1478600,481.396000,6
PF3D7_1478600,355.823000,45
PF3D7_0803700,100.957400,24
PF3D7_1336200,122.413000,24
PF3D7_1336200,103.512000,57
PF3D7_1016800,1516.040000,36
PF3D7_1016800,4.796460,57
PF3D7_0726100,257.596000,42
PF3D7_0830600,510.113000,39
PF3D7_1233800,103.761000,27
PF3D7_0919800,114.952000,30
PF3D7_0907900,87.903300,21
PF3D7_0907900,73.868900,57
PF3D7_0824400,140.341000,15
PF3D7_0824400,127.782000,51
PF3D7_0307400,72.363700,24
PF3D7_0501800,74.293400,24
PF3D7_0917500,70.314600,27
PF3D7_0826300,64.695200,24
PF3D7_0920200,57.503300,24
PF3D7_0529100,73.719100,21
PF3D7_0529100,66.688400,57
PF3D7_0520400,55.025400,24
PF3D7_0625300,50.332600,27
PF3D7_1022200,57.238200,21
PF3D7_1022200,53.992900,57
PF3D7_0523600,62.226400,24
PF3D7_0709400,52.774800,24
PF3D7_1103400,56.704300,21
PF3D7_1103400,49.937800,57
PF3D7_1032800,36.974600,21
PF3D7_0303500,32.165400,27
PF3D7_1338900,42.863600,24
PF3D7_0625700,69.421500,21
PF3D7_0624100,42.797800,27
PF3D7_0313700,49.411600,21
PF3D7_0521400,34.546700,21
PF3D7_0521400,31.180800,57
PF3D7_0111400,30.652600,24
PF3D7_0111400,26.437900,57
PF3D7_1236000,51.125900,24
PF3D7_1236000,24.730300,48
PF3D7_0205600,29.831700,24
PF3D7_0205600,16.921000,36
PF3D7_1119700,245.128000,36
PF3D7_1345200,29.218600,21
PF3D7_1345200,27.148000,57
PF3D7_1034200,28.684000,27
PF3D7_0918600,27.125600,21
PF3D7_0918600,23.976200,57
PF3D7_1239500,26.831800,27
PF3D7_1317600,32.948800,24
PF3D7_1225900,25.583500,24
PF3D7_1345500,36.733300,24
PF3D7_1357200,34.469500,24
PF3D7_1357200,10.618330,36
PF3D7_0925800,30.722900,21
PF3D7_0925800,25.720200,57
PF3D7_1432000,27.660700,21
PF3D7_0817400,24.369700,18
PF3D7_0817400,21.461200,54
PF3D7_0828400,14.869000,24
PF3D7_1301800,59.732700,39
PF3D7_0600800,15.394800,9
PF3D7_0600800,1.118052,27
PF3D7_0600800,11.162400,48
PF3D7_1322400,4.729270,3
PF3D7_1322400,1.618591,27
PF3D7_1322400,2.476780,33
PF3D7_1322400,4.691410,42
PF3D7_0111200,49.305500,21
PF3D7_0202500,25323.600000,36
PF3D7_1001500,10500.500000,42
PF3D7_0818500,2010.250000,36
PF3D7_1361900,543.110000,21
PF3D7_0935900,2553.740000,39
PF3D7_0214100,188.372000,30
PF3D7_0214100,318.166000,39
PF3D7_0107000,375.465000,24
PF3D7_0820300,277.128000,33
PF3D7_0820300,276.883000,39
PF3D7_1442100,157.707000,24
PF3D7_1442100,22.468300,39
PF3D7_1221900,55.112400,30
PF3D7_1221900,389.839000,39
PF3D7_0413700,151.984000,24
PF3D7_1230400,132.816000,24
PF3D7_0219900,14.536000,21
PF3D7_0219900,949.569000,36
