gene,expr,timepoint
PF3D7_1460800,1.446223,3
PF3D7_1460800,2.661310,42
PF3D7_1454500,67.431100,21
PF3D7_1454500,70.928600,57
PF3D7_0315400,2.647720,3
PF3D7_0315400,5.691890,42
PF3D7_1035800,1.872036,27
PF3D7_0731100,18.057100,21
PF3D7_0530200,2.003630,6
PF3D7_0530200,4.494890,42
PF3D7_1401500,5.566130,27
PF3D7_0102600,3.149380,27
PF3D7_1437400,5.623450,39
PF3D7_0503100,4.305460,42
PF3D7_0936000,1.959503,24
PF3D7_1149100,19.476500,36
PF3D7_1205500,29.716200,15
PF3D7_1205500,37.542000,54
PF3D7_1345700,22.764000,42
PF3D7_0918200,2.616770,6
PF3D7_0918200,3.557260,42
PF3D7_0208600,1.949692,3
PF3D7_0208600,5.423410,45
PF3D7_1427300,2.663570,6
PF3D7_1427300,3.336220,42
PF3D7_1470800,2.252190,3
PF3D7_1470800,3.188220,42
PF3D7_0727500,1.639790,3
PF3D7_0727500,2.542340,42
PF3D7_0724600,4.908430,9
PF3D7_0724600,5.014290,45
PF3D7_1477000,1.254668,24
PF3D7_1325800,2.162810,27
PF3D7_1136500,290.609000,15
PF3D7_1136500,269.048000,51
PF3D7_1427900,94.110600,42
PF3D7_1201200,5.465880,24
PF3D7_0705500,43.701400,15
PF3D7_0705500,357.043000,33
PF3D7_0705500,41.690500,54
PF3D7_0320000,4.999250,3
PF3D7_0320000,7.384680,42
PF3D7_1355100,4.147440,6
PF3D7_1355100,6.759820,45
PF3D7_1417800,2.500540,6
PF3D7_1417800,5.767250,45
PF3D7_0202200,2.947010,21
PF3D7_1333000,14.665300,30
PF3D7_1333000,12.160100,36
PF3D7_1319400,4.362510,6
PF3D7_1319400,5.375920,45
PF3D7_1249500,2.681920,3
PF3D7_1249500,3.208120,42
PF3D7_1147300,3.080210,3
PF3D7_1147300,5.216690,42
PF3D7_1118200,13.974300,33
PF3D7_0525700,1.894762,3
PF3D7_0525700,30.000900,30
PF3D7_0525700,3.468690,42
PF3D7_0424900,3.011170,21
PF3D7_1119000,10.460930,42
PF3D7_0211200,4.029230,42
PF3D7_1345400,4.145670,42
PF3D7_1021000,2.862200,6
PF3D7_1021000,2.980960,42
PF3D7_1025300,8.282430,42
PF3D7_1308800,2.431470,6
PF3D7_1308800,2.510420,42
PF3D7_1413400,1.859684,6
PF3D7_1413400,2.310180,45
PF3D7_0831000,1.284805,27
PF3D7_1343500,1.324569,3
PF3D7_1343500,2.210900,42
PF3D7_0717900,5.641720,30
PF3D7_1364600,2.306920,9
PF3D7_1364600,2.856510,45
PF3D7_0221500,2.183140,27
PF3D7_0221500,2.122620,33
PF3D7_1425200,3.088110,36
PF3D7_1425200,2.885120,42
PF3D7_0424400,1.066402,21
PF3D7_1370300,9.489910,24
PF3D7_0821400,111.361000,12
PF3D7_0821400,112.761000,51
PF3D7_1134000,725.327000,15
PF3D7_1134000,39.922500,33
PF3D7_0721100,21.535300,42
PF3D7_1428200,17.777300,18
PF3D7_1428200,18.315900,54
PF3D7_1132300,10.544880,3
PF3D7_1132300,8.620130,42
PF3D7_0708700,9.354810,9
PF3D7_0708700,9.851180,42
PF3D7_1419800,3.115390,3
PF3D7_1419800,3.822340,42
PF3D7_0208500,1.000000,6
PF3D7_0208500,2.441640,42
PF3D7_1303000,18.531100,42
PF3D7_1303000,104.553000,57
PF3D7_1478000,2.917060,21
PF3D7_0601200,10.892490,27
PF3D7_0601200,8.056820,33
PF3D7_0601200,16.904700,39
PF3D7_0827500,2.992210,6
PF3D7_0827500,2.914060,45
PF3D7_0715800,2.486790,3
PF3D7_0715800,4.680140,42
PF3D7_1305000,3.634580,6
PF3D7_1305000,4.463400,42
PF3D7_0201700,2.004390,24
PF3D7_0709100,3.327760,6
PF3D7_0709100,4.161460,45
PF3D7_0221200,4.075880,36
PF3D7_0210200,1.990550,3
PF3D7_0210200,3.158550,45
PF3D7_0425200,1.206133,21
PF3D7_0713300,2.006870,24
PF3D7_1303100,9.068410,42
PF3D7_1229600,1.836138,6
PF3D7_1229600,2.522110,45
PF3D7_0925300,1.571134,3
PF3D7_0925300,2.745460,45
PF3D7_1202400,3.569260,3
PF3D7_1202400,2.498520,45
PF3D7_0309200,8.524120,6
PF3D7_0309200,7.461120,45
PF3D7_1368700,41.592700,24
PF3D7_1368700,6.248300,42
PF3D7_0604700,10.161550,36
PF3D7_0604700,2.634720,42
PF3D7_0921700,4.909890,6
PF3D7_0921700,4.152440,42
PF3D7_0827600,1.928911,3
PF3D7_0827600,3.153740,42
PF3D7_0208100,1.798185,9
PF3D7_0208100,2.614650,45
PF3D7_0520800,9.224320,39
PF3D7_1339900,1.613701,3
PF3D7_1339900,2.996080,42
PF3D7_1201100,2.393600,24
PF3D7_0107800,5.069880,42
PF3D7_1241600,1.514913,3
PF3D7_1241600,4.759740,36
PF3D7_1241600,1.538413,42
PF3D7_0103900,7.498560,39
PF3D7_1106200,4.694440,33
PF3D7_1106200,2.300340,42
PF3D7_1430600,2.036540,3
PF3D7_1430600,2.184110,42
PF3D7_0831100,1.089503,30
PF3D7_0831100,1.211092,57
PF3D7_0114800,1.000000,36
PF3D7_1102800,99.948900,21
PF3D7_0716300,30.773400,42
PF3D7_1358700,83.401000,15
PF3D7_1358700,104.502000,51
PF3D7_0936300,4.091800,27
PF3D7_0606000,24.654300,18
PF3D7_0606000,154.151000,33
PF3D7_0606000,24.465700,54
PF3D7_1321800,47.044800,21
PF3D7_1321800,49.257200,57
PF3D7_1414000,2.878760,6
PF3D7_1414000,5.611390,42
PF3D7_1439500,2.981420,15
PF3D7_1439500,5.631950,51
PF3D7_0934400,2.661420,6
PF3D7_0934400,6.029760,42
PF3D7_1478600,6.455760,33
PF3D7_0803700,3.277900,3
PF3D7_0803700,4.922820,42
PF3D7_1336200,11.804100,42
PF3D7_1016800,3.482710,18
PF3D7_1016800,4.118730,54
PF3D7_0726100,4.607210,24
PF3D7_0830600,4.460860,27
PF3D7_1233800,8.910110,9
PF3D7_1233800,9.893090,42
PF3D7_0919800,4.127000,12
PF3D7_0919800,7.378820,51
PF3D7_0907900,3.013020,3
PF3D7_0907900,3.506800,42
PF3D7_0824400,12.721100,39
PF3D7_0307400,1.666619,6
PF3D7_0307400,3.205260,42
PF3D7_0501800,2.816990,3
PF3D7_0501800,4.754090,42
PF3D7_0917500,1.627208,6
PF3D7_0917500,2.455510,45
PF3D7_0826300,2.546690,3
PF3D7_0826300,4.035070,42
PF3D7_0920200,1.860503,6
PF3D7_0920200,2.774580,42
PF3D7_0529100,9.271780,42
PF3D7_0520400,6.899510,42
PF3D7_0625300,1.891654,6
PF3D7_0625300,3.033920,42
PF3D7_1022200,7.859850,39
PF3D7_0523600,1.555457,3
PF3D7_0523600,2.558160,42
PF3D7_0709400,1.915814,3
PF3D7_0709400,2.924570,42
PF3D7_1103400,4.162340,42
PF3D7_1032800,1.835193,6
PF3D7_1032800,2.020750,42
PF3D7_0303500,1.483714,6
PF3D7_0303500,2.490210,45
PF3D7_1338900,1.509212,6
PF3D7_1338900,2.264230,45
PF3D7_0625700,10.243030,6
PF3D7_0625700,7.089590,39
PF3D7_0624100,1.448414,6
PF3D7_0624100,2.259290,45
PF3D7_0313700,1.321924,6
PF3D7_0313700,1.867453,42
PF3D7_0521400,4.402370,42
PF3D7_0111400,2.018360,3
PF3D7_0111400,3.564270,42
PF3D7_1236000,12.418800,3
PF3D7_1236000,11.366300,39
PF3D7_1236000,24.208500,51
PF3D7_0205600,3.745990,3
PF3D7_0205600,15.941900,33
PF3D7_0205600,3.797120,45
PF3D7_1119700,7.064700,15
PF3D7_1119700,7.465950,51
PF3D7_1345200,5.396060,42
PF3D7_1034200,1.264573,3
PF3D7_1034200,1.675267,45
PF3D7_0918600,4.403870,42
PF3D7_1239500,1.581558,3
PF3D7_1239500,2.353600,45
PF3D7_1317600,6.844390,39
PF3D7_1225900,2.635620,42
PF3D7_1345500,5.064020,42
PF3D7_1357200,3.460240,6
PF3D7_1357200,9.985450,33
PF3D7_1357200,3.233610,42
PF3D7_0925800,5.214720,42
PF3D7_1432000,6.356380,39
PF3D7_0817400,3.548890,42
PF3D7_0828400,1.245972,6
PF3D7_0828400,1.722854,45
PF3D7_1301800,1.252012,27
PF3D7_0600800,1.035940,24
PF3D7_0600800,1.000000,30
PF3D7_1322400,1.292672,21
PF3D7_1322400,1.609929,30
PF3D7_1322400,2.168770,36
PF3D7_0111200,1.000000,42
PF3D7_0202500,13.668100,24
PF3D7_1001500,15.741500,24
PF3D7_0818500,110.822000,21
PF3D7_1361900,4.019640,6
PF3D7_1361900,8.372610,42
PF3D7_0935900,3.926640,24
PF3D7_0214100,66.377500,15
PF3D7_0214100,160.407000,33
PF3D7_0214100,61.552200,54
PF3D7_0107000,3.187260,6
PF3D7_0107000,6.883730,45
PF3D7_0820300,27.168400,18
PF3D7_0820300,269.266000,36
PF3D7_0820300,29.635400,57
PF3D7_1442100,3.627800,3
PF3D7_1442100,22.400700,36
PF3D7_1442100,3.646050,42
PF3D7_1221900,4.445710,24
PF3D7_1221900,52.427400,33
PF3D7_0413700,2.016670,6
PF3D7_0413700,4.538220,42
PF3D7_1230400,3.082960,3
PF3D7_1230400,5.362850,42
PF3D7_0219900,13.200200,18
PF3D7_0219900,12.665100,24
PF3D7_1433600,4.668150,3
PF3D7_1433600,18.799000,36
PF3D7_1433600,2.981900,42
PF3D7_1021900,3.378250,3
PF3D7_1021900,102.525000,21
PF3D7_1021900,5.856210,42
PF3D7_1226900,94.875400,18
PF3D7_1226900,58.381900,30
PF3D7_1226900,10.024420,42
PF3D7_0702000,1.578463,24
PF3D7_1022900,1.800030,9
PF3D7_1022900,2.891280,45
PF3D7_1133200,1.776753,6
PF3D7_1133200,3.248510,45
PF3D7_0403800,7.383750,18
PF3D7_0403800,9.147430,54
PF3D7_0219800,11.860600,15
PF3D7_0219800,22.370400,24
PF3D7_0219800,14.249100,51
PF3D7_1224000,26.096900,39
PF3D7_0209700,21.581000,27
PF3D7_0403600,1.653905,6
PF3D7_0403600,2.756490,45
PF3D7_0904400,6.421390,42
PF3D7_0504400,2.218710,3
PF3D7_0504400,4.312410,42
PF3D7_1473900,9.564210,24
PF3D7_1473900,28.975300,33
PF3D7_0215300,1.534981,24
PF3D7_0215300,109.558000,39
PF3D7_1015400,2.684820,3
PF3D7_1015400,49.447100,24
PF3D7_1015400,3.220470,42
PF3D7_0414000,4.621640,42
PF3D7_0618600,1.846435,3
PF3D7_0618600,2.334090,42
PF3D7_0715600,1.851500,3
PF3D7_0715600,2.795950,42
PF3D7_0720900,6.943410,6
PF3D7_0720900,7.974250,42
PF3D7_1427500,2.127040,3
PF3D7_1427500,3.302100,42
PF3D7_1017000,1.645696,3
PF3D7_1017000,2.738150,42
PF3D7_1330200,10.511400,42
PF3D7_1321400,13.464000,18
PF3D7_1321400,37.983200,27
PF3D7_1321400,15.225900,54
PF3D7_1320100,1.441985,6
PF3D7_1320100,2.163310,42
PF3D7_0524600,3.356170,3
PF3D7_0524600,18.203000,36
PF3D7_0524600,4.366460,42
PF3D7_0932600,2.081180,3
PF3D7_0932600,4.199260,45
PF3D7_1034500,1.583761,6
PF3D7_1034500,2.196560,45
PF3D7_0802500,12.631100,15
PF3D7_0802500,12.215200,51
PF3D7_1427200,2.567340,12
PF3D7_1427200,2.394110,51
PF3D7_0408500,1.363743,6
PF3D7_0408500,2.477160,45
PF3D7_0501400,2.427790,21
PF3D7_0501400,2.720670,54
PF3D7_0526700,7.630340,42
PF3D7_0317500,11.815100,6
PF3D7_0317500,9.246570,42
PF3D7_0413800,1.457025,3
PF3D7_0413800,1.818806,42
PF3D7_1342300,1.496569,3
PF3D7_1342300,6.436510,36
PF3D7_1342300,1.889965,42
PF3D7_0804400,2.198810,6
PF3D7_0804400,3.508280,45
PF3D7_0529300,2.713910,42
PF3D7_0211300,1.163366,6
PF3D7_0211300,1.794328,45
PF3D7_0216400,2.623730,6
PF3D7_0216400,3.415630,42
PF3D7_1126100,2.514830,3
PF3D7_1126100,3.184330,42
PF3D7_0222100,3.973140,30
PF3D7_0222100,5.277090,39
PF3D7_0508500,3.375210,12
PF3D7_0508500,4.997300,51
PF3D7_0305100,3.233260,42
PF3D7_0425800,1.679765,27
PF3D7_0727100,2.151860,3
PF3D7_0727100,15.819500,18
PF3D7_0727100,3.048380,42
PF3D7_1330700,1.303442,6
PF3D7_1330700,1.620610,45
PF3D7_0910400,5.923370,42
PF3D7_1372000,1.712941,24
PF3D7_1462100,1.173573,6
PF3D7_1462100,1.454571,45
PF3D7_1470100,3.997570,39
PF3D7_0713500,4.558300,18
PF3D7_0713500,5.269300,24
PF3D7_0713500,4.312660,57
PF3D7_1350400,2.119190,6
PF3D7_1350400,8.764080,24
PF3D7_1350400,2.453890,42
PF3D7_0512800,2.812850,33
PF3D7_0512800,3.512040,42
PF3D7_1249000,4.673910,3
PF3D7_1249000,6.155110,12
PF3D7_1249000,1.309892,27
PF3D7_0730100,2.964450,33
PF3D7_0730100,3.663690,42
PF3D7_0936500,1.053705,24
PF3D7_1208500,1.948053,33
PF3D7_0400900,1.065030,27
PF3D7_0400900,1.085293,33
PF3D7_1300900,1.141386,27
PF3D7_1306100,1.000000,6
PF3D7_1306100,13.730300,30
PF3D7_1306100,1.442259,42
PF3D7_1254100,1.403024,6
PF3D7_1254100,1.000000,36
PF3D7_1401400,50.606400,24
PF3D7_1008700,22.120400,6
PF3D7_1008700,507.671000,30
PF3D7_1008700,47.232800,45
PF3D7_0903700,12.458200,6
PF3D7_0903700,22.248200,45
PF3D7_1465400,53.765800,24
PF3D7_1465400,433.748000,36
PF3D7_1465400,53.275400,57
PF3D7_0501300,8.761860,27
PF3D7_1361100,65.621100,15
PF3D7_1361100,296.492000,36
PF3D7_1361100,68.228100,54
PF3D7_0316300,3.230420,6
PF3D7_0316300,7.986560,45
PF3D7_1138500,107.380000,15
PF3D7_1138500,301.834000,33
PF3D7_1138500,107.293000,54
PF3D7_1401100,4.529050,24
PF3D7_0216600,33.147200,18
PF3D7_0216600,31.662600,54
PF3D7_1148900,5.071100,24
PF3D7_1360900,3.662410,3
PF3D7_1360900,6.735640,45
PF3D7_1317100,2.797860,6
PF3D7_1317100,5.785010,45
PF3D7_0904800,3.664180,3
PF3D7_0904800,6.536730,42
PF3D7_0923800,4.750290,3
PF3D7_0923800,6.368940,42
PF3D7_1249400,3.278110,3
PF3D7_1249400,5.184130,42
PF3D7_1368600,8.780370,30
PF3D7_1368600,6.054970,36
PF3D7_0715900,1.677701,3
PF3D7_0715900,4.028470,42
PF3D7_1148700,4.149190,27
PF3D7_1416900,18.570500,30
PF3D7_1416900,15.274800,36
PF3D7_1417200,53.150700,24
PF3D7_1417200,96.147400,33
PF3D7_1462700,2.295010,9
PF3D7_1462700,4.583100,45
PF3D7_0813000,34.306100,18
PF3D7_0813000,35.188800,54
PF3D7_1008500,18.495100,12
PF3D7_1008500,41.774600,39
PF3D7_1008500,18.805400,51
PF3D7_1105500,2.416310,6
PF3D7_1105500,4.911740,42
PF3D7_0505500,5.542280,6
PF3D7_0505500,5.773150,42
PF3D7_1001400,2.676600,27
PF3D7_1448400,7.775910,42
PF3D7_1365500,10.605300,36
PF3D7_0210400,1.723607,3
PF3D7_0210400,2.636450,42
