gene,expr,timepoint
PF3D7_0501000,1092.240000,15
PF3D7_0501000,999.262000,51
PF3D7_0512200,35.935500,18
PF3D7_0512200,32.647200,54
PF3D7_1210700,12.694300,27
PF3D7_1210700,14.849100,63
PF3D7_0515700,2223.020000,33
PF3D7_0507400,642.002000,36
PF3D7_1240400,22.794800,6
PF3D7_1240400,27.248000,48
PF3D7_1205200,122.816000,33
PF3D7_0619600,5.194560,21
PF3D7_0619600,5.721380,60
PF3D7_1010300,5463.070000,36
PF3D7_0105300,910.310000,33
PF3D7_1133400,2016.380000,36
PF3D7_0407700,165.064000,33
PF3D7_0221200,45.552500,15
PF3D7_0221200,34.315700,51
PF3D7_0204000,6.558760,24
PF3D7_0204000,6.623450,60
PF3D7_1361100,596.362000,3
PF3D7_1361100,618.250000,39
PF3D7_1439500,413.884000,36
PF3D7_1253100,103.498000,9
PF3D7_1253100,108.752000,48
PF3D7_1372000,230.324000,12
PF3D7_1372000,259.961000,48
PF3D7_0932100,321.893000,33
PF3D7_0312500,37.077800,15
PF3D7_0312500,41.527000,54
PF3D7_0918600,27.122700,24
PF3D7_0918600,24.505700,63
PF3D7_0820800,2.429570,6
PF3D7_0820800,15.188500,24
PF3D7_0820800,18.245100,60
PF3D7_0916000,203.130000,33
PF3D7_1001600,435.895000,30
PF3D7_1001600,514.377000,66
PF3D7_0423500,2142.010000,33
PF3D7_1440100,167.975000,33
PF3D7_1227100,77.656600,18
PF3D7_1227100,73.199700,57
PF3D7_0210300,33.411700,24
PF3D7_0210300,45.124400,63
PF3D7_0403900,71.821300,33
PF3D7_0712800,33.775400,9
PF3D7_0712800,45.623700,48
PF3D7_1373500,23.724700,9
PF3D7_1373500,41.459400,48
PF3D7_1327500,59.220500,33
PF3D7_1436000,592.695000,15
PF3D7_1436000,371.508000,51
PF3D7_1205500,918.558000,36
PF3D7_1219400,658.913000,9
PF3D7_1219400,1197.120000,48
PF3D7_1148700,1109.410000,12
PF3D7_1148700,963.339000,48
PF3D7_1222700,3884.300000,36
PF3D7_1331300,290.909000,30
PF3D7_1421900,409.316000,33
PF3D7_1439000,298.536000,30
PF3D7_1439000,254.972000,66
PF3D7_0707400,85.299900,18
PF3D7_0707400,77.937000,54
PF3D7_0602200,84.878000,15
PF3D7_0602200,99.345300,51
PF3D7_0609800,519.905000,33
PF3D7_0529100,68.106600,24
PF3D7_0529100,85.853400,63
PF3D7_0730400,1603.660000,36
PF3D7_0508800,79.438600,27
PF3D7_0508800,71.809500,63
PF3D7_0717600,168.017000,33
PF3D7_0618600,63.354800,24
PF3D7_0618600,47.153100,63
PF3D7_0810800,85.200300,21
PF3D7_0810800,71.695700,57
PF3D7_1017100,525.328000,33
PF3D7_1023400,51.576900,27
PF3D7_1023400,58.800500,63
PF3D7_0717900,42.615300,18
PF3D7_0717900,38.726900,54
PF3D7_1348500,66.922600,27
PF3D7_1348500,57.854300,60
PF3D7_1348500,59.033600,66
PF3D7_0607600,106.351000,30
PF3D7_0802800,338.667000,33
PF3D7_0408500,61.625300,27
PF3D7_0408500,81.876300,66
PF3D7_1320200,22.108500,27
PF3D7_1320200,21.649600,63
PF3D7_1025400,53.473400,33
PF3D7_0400100,22.642300,9
PF3D7_0400100,32.197400,48
PF3D7_1106600,15.750900,21
PF3D7_1106600,15.764600,60
PF3D7_0424700,589.620000,12
PF3D7_0424700,779.636000,48
PF3D7_0705500,374.906000,3
PF3D7_0705500,420.451000,39
PF3D7_0320000,328.572000,27
PF3D7_0320000,390.581000,63
PF3D7_1224500,342.522000,30
PF3D7_1224500,383.499000,66
PF3D7_1477500,499.417000,12
PF3D7_1477500,467.480000,48
PF3D7_0613800,291.426000,30
PF3D7_1465000,105.719000,33
PF3D7_1106300,44.693900,24
PF3D7_1106300,44.016200,63
PF3D7_0504000,62.126500,24
PF3D7_0504000,50.103300,60
PF3D7_1436600,462.288000,33
PF3D7_0501800,68.604600,27
PF3D7_0501800,75.651000,66
PF3D7_0505400,65.558300,30
PF3D7_0505400,66.529700,66
