gene,expr,timepoint
PF3D7_0501000,14.786600,33
PF3D7_0512200,2.184670,36
PF3D7_1210700,1.098356,12
PF3D7_1210700,1.036495,42
PF3D7_0515700,7.861920,15
PF3D7_0515700,4.618930,51
PF3D7_0507400,1.749286,18
PF3D7_0507400,1.815792,54
PF3D7_1240400,1.150682,27
PF3D7_1240400,1.214959,66
PF3D7_1205200,1.182385,15
PF3D7_1205200,1.000000,48
PF3D7_0619600,1.225585,3
PF3D7_0619600,1.027901,39
PF3D7_1010300,49.924800,21
PF3D7_1010300,58.166800,54
PF3D7_0105300,3.079820,15
PF3D7_0105300,1.000000,51
PF3D7_1133400,5.561190,18
PF3D7_1133400,2.834590,54
PF3D7_0407700,1.358719,15
PF3D7_0407700,1.245840,51
PF3D7_0221200,1.363401,33
PF3D7_0204000,1.089803,6
PF3D7_0204000,1.062155,45
PF3D7_1361100,75.676900,18
PF3D7_1361100,61.350500,54
PF3D7_1439500,3.946400,18
PF3D7_1439500,2.848040,54
PF3D7_1253100,3.103550,27
PF3D7_1253100,2.504420,66
PF3D7_1372000,1.531947,30
PF3D7_1372000,1.619616,66
PF3D7_0932100,2.829560,15
PF3D7_0932100,1.954422,51
PF3D7_0312500,4.187940,3
PF3D7_0312500,2.927370,36
PF3D7_0918600,2.057870,6
PF3D7_0918600,1.582899,42
PF3D7_0820800,2.264550,3
PF3D7_0820800,1.843902,12
PF3D7_0820800,1.605784,45
PF3D7_0916000,1.565236,15
PF3D7_0916000,1.351218,51
PF3D7_1001600,5.800250,12
PF3D7_1001600,4.467130,48
PF3D7_0423500,6.456000,15
PF3D7_0423500,4.776170,51
PF3D7_1440100,2.287270,12
PF3D7_1440100,1.575415,48
PF3D7_1227100,6.074020,36
PF3D7_0210300,1.540395,9
PF3D7_0210300,1.387762,45
PF3D7_0403900,1.323995,15
PF3D7_0403900,1.137263,51
PF3D7_0712800,1.210357,27
PF3D7_0712800,1.153130,66
PF3D7_1373500,1.283819,27
PF3D7_1373500,1.476215,66
PF3D7_1327500,1.124527,15
PF3D7_1327500,1.032240,51
PF3D7_1436000,16.957200,33
PF3D7_1205500,37.482000,21
PF3D7_1205500,46.983800,57
PF3D7_1219400,2.908400,30
PF3D7_1219400,5.162930,66
PF3D7_1148700,4.174580,30
PF3D7_1222700,11.459100,15
PF3D7_1222700,10.897750,51
PF3D7_1331300,4.085080,12
PF3D7_1331300,2.937760,45
PF3D7_1421900,2.697700,12
PF3D7_1421900,2.672630,48
PF3D7_1439000,2.960960,15
PF3D7_1439000,2.157900,48
PF3D7_0707400,8.499640,36
PF3D7_0602200,6.734800,33
PF3D7_0609800,2.670180,15
PF3D7_0609800,2.536690,54
PF3D7_0529100,3.447330,6
PF3D7_0529100,2.731860,42
PF3D7_0730400,5.780060,18
PF3D7_0730400,3.120290,54
PF3D7_0508800,3.150150,9
PF3D7_0508800,2.881280,45
PF3D7_0717600,1.618395,15
PF3D7_0717600,1.389441,51
PF3D7_0618600,2.055320,6
PF3D7_0618600,1.728130,42
PF3D7_0810800,3.554430,3
PF3D7_0810800,1.947830,39
PF3D7_1017100,2.084760,15
PF3D7_1017100,1.631904,51
PF3D7_1023400,1.705315,9
PF3D7_1023400,1.000000,45
PF3D7_0717900,3.109920,3
