,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
PF3D7_0501000,46.93245,38.430967460800005,28.260366455099998,22.0082,19.18634901895,16.6763768207,16.120359999999998,18.664422951549998,22.73449274775,25.89235,27.309661484899998,28.35794329155,29.89875,33.111544873300005,38.4787037337,45.81614999999999,59.35334322199999,79.83301570475,101.84100000000001,122.4547443895,146.6692103,180.94650000000001,265.97388236800003,398.55377428,519.321,674.201174012,944.6244907480001,1201.38,1462.36612834,1711.79473084,1823.07,1668.15860275,1332.82276106,1011.16,739.262497886,479.111692915,313.639,236.99620344299998,183.228850385,145.109,115.148828235,91.61390935360001,75.9064,67.1167356489,60.87403954770001
PF3D7_1447400,2.7551449999999997,2.360898119555,1.9442866431099999,1.7508515,1.8531867124249999,2.1249667026349996,2.513353,3.41147800891,5.019186821765,6.99371,9.469088686540001,12.741638118800001,16.712,22.2150827698,29.093833090649998,35.76095,41.3276728035,46.85216235185,53.667500000000004,63.78064851505,76.93804893034999,91.082,111.660538713,135.7858601045,148.8965,160.978209241,132.097862926,105.348,84.47023722590001,65.2041021743,53.0425,47.87765534810001,44.4270778189,40.4216,33.979026043699996,26.7078190439,21.5748,19.1061660555,17.3303885995,15.4677,13.1519928468,10.737481281400001,8.52488,6.38140875491,4.393116114790001
PF3D7_1436000,25.8669,21.1225991732,15.0093390177,11.582905,11.055549204215,10.966053937295,11.36,14.475189375349998,20.029038532199998,24.28655,26.3008450318,28.12484441925,30.52325,34.67465869265,40.864127858749995,48.51605,58.76170043374999,72.29016455895,87.86255,106.97378729600001,132.487092165,165.216,225.0746070025,309.7900665955,386.89549999999997,523.6176807830001,680.698173725,755.296,715.98091605,628.7867209890001,539.84,459.63456008,377.543423866,308.012,252.17442110099998,203.97290763200002,167.065,140.8403539,119.92339085100001,100.8238,81.1041771081,62.8024931295,49.1415,40.095131384,33.0184274745
PF3D7_1368200,51.03855,43.254155855700006,32.91213903895,27.7462,29.3675218115,33.3113880674,38.197649999999996,47.25325522505,60.14079810675,70.1336,75.29489356254999,79.31750589135001,83.91915,91.20030160065,100.31304364355,108.55250000000001,115.68101655000001,122.6390743425,128.489,133.0287263445,136.91658482399998,140.50549999999998,146.641846478,154.33346959149998,158.1755,166.468790882,152.284470653,143.775,142.54151083899998,141.780283213,141.264,140.941723763,140.714947558,140.285,133.857675436,121.48774444799999,111.65,107.092566121,103.625701256,99.3174,92.6714037757,84.4383550543,76.0566,67.86921770010001,59.524319511
PF3D7_0906910,8.750184999999998,7.28730765628,5.49427780336,4.56351,4.528926445875,4.617328619979999,4.8104499999999994,6.217689259315,9.08741153494,12.1098,15.015720783599999,18.279553155600002,21.70675,25.251849747599998,29.1048739117,33.424499999999995,39.18335783285,45.750891519250004,50.881,54.84958689995,58.38271011665,59.9095,59.381855555550004,58.401944444449995,57.8743,62.619437037,67.652362963,70.3624,69.9808356654,68.9885379974,67.6141,64.8069576493,60.340022294700006,55.6771,51.321627684700005,46.738897865,41.8355,35.8654703441,29.5001309559,24.772,22.1704183491,20.218606043599998,17.9999,14.6655430771,10.9492176701
PF3D7_1028000,4.254735,3.9299806382149995,3.71316337466,3.634235,3.609027711035,3.595374866515,3.68623,4.754370430645,7.039139549944999,9.68334,12.560695457649999,16.06749736235,20.1304,25.364706369049998,31.5246542274,37.2453,42.37803810355,47.26537829285,51.27905,55.48964562485,60.21954306525,63.71815,67.9981614811,73.62006346785,76.65495,79.8352778611,74.7027001665,70.9981,69.8374225212,69.0769230699,67.795,63.2225999759,55.2725124593,47.0459,38.8545656459,30.3514229013,23.6493,18.8836788026,14.9923488729,12.2916,10.6038146057,9.343397043560001,8.21467,7.07365767046,6.03091037791
PF3D7_1038100,5.31925,5.065836165675,4.775817249505,4.637335,4.910304763225,5.55962008201,6.33089,7.264406101689999,8.457353159735,9.740680000000001,11.173099094,12.7441228502,14.180900000000001,15.5168258864,16.75152726815,17.5615,17.779626825050002,17.7522711888,17.92615,18.636320384199998,19.683622987699998,20.71345,21.7693153689,22.8118896623,23.362299999999998,23.454697074400002,22.9947274821,22.404,21.337123879900002,19.9018723163,18.9219,18.5769010974,18.349889614200002,18.0195,17.3464176345,16.349957844400002,15.1967,13.7425810369,12.027153461400001,10.49242,9.20463995145,8.04429467768,7.17472,6.58009997245,6.111767126599999
PF3D7_1371600,79.57005000000001,110.29375517505,159.12496744100002,187.7355,167.469310305,122.1856558735,92.3293,78.9452125678,60.92334102165,45.475915,33.25980717472,21.954656047285,14.30684,9.855388514094999,6.5289047258899995,4.6581275,3.828837983825,3.27776179422,2.8120545,2.31843533096,1.8807457109749999,1.6018245,1.452004457825,1.335998117755,1.2582140000000002,1.17183558416,1.16656956986,1.164696,1.17053083552,1.1865834488200002,1.210676,1.29140067037,1.43952740285,1.5961450000000001,1.7432235832,1.90066152396,2.06644,2.20840099971,2.36014924191,2.6183099999999997,3.7692650993199996,6.422434349419999,10.409,24.057260105500003,47.9762815884
PF3D7_0532300,55.2184,47.64014814815,33.56625185185,25.988,26.480727490699998,27.82405498145,29.8157,37.626716591450005,54.000826766100005,75.09475,105.86253750875,150.8100008475,205.42149999999998,273.1440504185,360.21884280150005,466.3215,659.729019439,919.8588962834999,1113.0974999999999,1316.24432256,1650.9449737999998,2050.855,3101.118334115,4765.6084043850005,6046.075,7348.55542527,8265.72382375,8650.69,7792.84774819,5960.65882972,4266.13,2942.2147640000003,1721.87655035,967.137,615.414217365,367.59721588400004,230.91400000000002,162.636778884,115.58457217200001,90.3056,77.4769230275,68.53850040260001,65.1829,65.51682592590001,66.1369740741
PF3D7_0821400,662.055,1024.1846137625,1618.647306885,1931.1,1856.012195605,1685.791057885,1503.0,1295.592949935,1062.65715336,903.4559999999999,816.9797537595,734.5237531905,653.809,562.3115725215,472.17545321899996,418.12350000000004,398.82748971499996,384.658980013,367.8905,334.394291295,289.7146084575,255.632,234.3389130915,215.176862914,200.64999999999998,187.09709970900002,177.48762964099998,166.571,150.498004729,132.416835698,123.833,124.046510689,124.665799156,125.65899999999999,133.843215015,151.176406542,170.338,189.599385874,211.51459204,235.187,257.636163477,282.330569605,318.047,390.104032044,506.055484265
