gene,expr,timepoint
PF3D7_0501000,1823.070000,30
PF3D7_1447400,174.493000,24
PF3D7_1436000,755.296000,27
PF3D7_1368200,173.948000,24
PF3D7_0906910,58.319400,66
PF3D7_0906910,61.499600,21
PF3D7_0906910,70.362400,27
PF3D7_1028000,82.427900,24
PF3D7_1028000,3.834260,3
PF3D7_1038100,19.129700,15
PF3D7_1038100,23.640000,24
PF3D7_1371600,257.010000,3
PF3D7_1371600,145.186000,51
PF3D7_0532300,8650.690000,27
PF3D7_0532300,66.470900,45
PF3D7_0821400,2521.120000,3
PF3D7_0821400,1341.080000,48
PF3D7_0213700,360.099000,30
PF3D7_0213700,307.806000,24
PF3D7_1354500,164.387000,30
PF3D7_0810800,154.198000,27
PF3D7_0810800,3.731190,51
PF3D7_1332400,37.646900,27
PF3D7_1332400,14.210600,9
PF3D7_0806000,21.107500,30
PF3D7_1469200,281.194000,3
PF3D7_1469200,3.295650,18
PF3D7_1469200,126.923000,51
PF3D7_1469200,1.503730,27
PF3D7_0613900,339.337000,3
PF3D7_0613900,127.779000,48
PF3D7_1104900,265.116000,3
PF3D7_1104900,122.128000,48
PF3D7_1037300,1194.800000,27
PF3D7_1037300,684.949000,18
PF3D7_1130600,25.691700,21
PF3D7_1130600,29.879100,27
PF3D7_0323100,9.971070,51
PF3D7_0323100,42.001600,30
PF3D7_1408100,960.921000,18
PF3D7_1408100,1501.230000,24
PF3D7_1408100,725.143000,60
PF3D7_0628300,3129.650000,48
PF3D7_0628300,6786.730000,3
PF3D7_0628300,3549.640000,54
PF3D7_1010700,505.747000,24
PF3D7_1010700,285.774000,18
PF3D7_0512000,27.792800,51
PF3D7_0512000,145.892000,18
PF3D7_0512000,227.661000,30
PF3D7_0114200,271.669000,30
PF3D7_0711500,12.110600,51
PF3D7_0711500,94.434300,30
PF3D7_0932300,120.790000,27
PF3D7_0932300,9.229990,51
PF3D7_1242200,37.337400,15
PF3D7_1242200,61.451900,27
PF3D7_1242600,32.232600,30
PF3D7_0308700,1.270148,30
PF3D7_0308700,179.891000,3
PF3D7_0308700,113.155000,51
PF3D7_1310200,290.342000,51
PF3D7_1310200,261.969000,45
PF3D7_1305100,1.224321,63
PF3D7_1305100,13.013700,51
PF3D7_1305100,30.378700,42
PF3D7_1451100,2368.600000,24
PF3D7_1451100,2306.820000,18
PF3D7_0511000,945.854000,24
PF3D7_0511000,594.002000,18
PF3D7_0614400,352.624000,24
PF3D7_1403900,12.329800,51
PF3D7_1403900,311.337000,30
PF3D7_0201600,11.067700,45
PF3D7_0201600,1077.450000,27
PF3D7_0622200,102.409000,21
PF3D7_0622200,103.247000,66
PF3D7_1215300,649.740000,33
PF3D7_1215300,3.896880,9
PF3D7_1340600,183.057000,30
PF3D7_1344800,99.518500,27
PF3D7_0902600,230.772000,24
PF3D7_0902600,111.276000,18
PF3D7_0906890,64.162500,24
PF3D7_0906890,25.201000,15
PF3D7_0906890,7.204640,3
PF3D7_1035400,1472.390000,3
PF3D7_1035400,22.874200,63
PF3D7_1035400,703.199000,48
PF3D7_1014700,122.033000,33
PF3D7_1014700,10.354050,63
PF3D7_0525200,47.464500,45
PF3D7_1415400,51.137000,33
PF3D7_1468900,34.708600,21
PF3D7_1468900,37.914900,30
PF3D7_1429400,40.885000,27
PF3D7_0519600,36.019700,30
PF3D7_0212700,32.187500,24
PF3D7_0212700,15.554900,15
PF3D7_0323600,20.192900,15
PF3D7_0323600,29.444600,24
PF3D7_0706300,1.746303,30
PF3D7_0706300,3.412640,18
PF3D7_0706300,252.671000,48
PF3D7_0706300,541.712000,3
PF3D7_0316600,73.184000,51
PF3D7_0316600,2429.370000,27
PF3D7_1439500,177.955000,54
PF3D7_1439500,346.271000,3
PF3D7_1439500,188.307000,48
PF3D7_0605900,1449.560000,48
PF3D7_0605900,1210.980000,54
PF3D7_0605900,2828.320000,6
PF3D7_1222700,3.987750,24
PF3D7_1222700,1624.660000,51
PF3D7_1222700,3379.270000,3
PF3D7_0526800,121.272000,24
PF3D7_0526800,100.708900,18
PF3D7_1362300,67.748500,15
PF3D7_1362300,172.293000,24
PF3D7_0936600,10.396580,3
PF3D7_0936600,234.407000,24
PF3D7_0111800,8.632780,51
PF3D7_0111800,54.921200,36
PF3D7_0516300,41.182100,18
PF3D7_0516300,34.964400,60
PF3D7_0516300,53.064400,24
PF3D7_0519500,6.599910,51
PF3D7_0519500,14.903500,21
PF3D7_0519500,63.640300,33
PF3D7_1420900,2.985060,66
PF3D7_1420900,52.087000,45
PF3D7_1420900,37.297400,51
PF3D7_0932600,1.824576,18
PF3D7_0932600,68.418200,39
PF3D7_1412700,26.763900,27
PF3D7_1412700,21.595300,21
PF3D7_1412700,23.837600,33
PF3D7_0710400,29.127600,24
PF3D7_0112800,81.534500,51
PF3D7_0112800,86.840400,57
PF3D7_0112800,246.361000,6
PF3D7_1243700,241.466000,3
PF3D7_1243700,99.694500,48
PF3D7_1243700,1.605230,24
PF3D7_1332200,1.313955,27
PF3D7_1332200,467.595000,3
PF3D7_1332200,251.571000,51
PF3D7_0515400,1.165450,30
PF3D7_0515400,211.421000,3
PF3D7_0515400,117.440000,51
PF3D7_1417400,1.125747,30
PF3D7_1417400,58.479200,3
PF3D7_1417400,35.942500,51
PF3D7_0817900,409.674000,24
PF3D7_0817900,3777.810000,45
PF3D7_0702500,41.607700,9
PF3D7_0702500,4614.260000,27
PF3D7_0811400,283.838000,27
PF3D7_0710300,74.472200,24
PF3D7_0710300,124.059000,30
PF3D7_1104800,120.072000,30
PF3D7_0525800,6500.020000,3
PF3D7_0525800,2582.050000,54
PF3D7_1148700,768.769000,27
PF3D7_1148700,6.450540,45
PF3D7_0916500,3.885450,60
PF3D7_0916500,60.518700,39
PF3D7_0916500,15.706700,51
PF3D7_0726900,34.371000,33
PF3D7_0726900,4.816010,51
PF3D7_1017100,1.668550,21
PF3D7_1017100,290.708000,45
PF3D7_1017100,255.318000,51
PF3D7_0206200,177.014000,48
PF3D7_0206200,3.176740,24
PF3D7_0206200,452.433000,3
PF3D7_0206200,5.621090,18
PF3D7_0206200,238.069000,54
PF3D7_API02300,2.652660,21
PF3D7_API02300,38.083600,45
PF3D7_1411000,107.107000,48
PF3D7_1411000,141.476000,54
PF3D7_1411000,270.863000,3
PF3D7_1126700,1.267346,30
PF3D7_1126700,458.603000,3
PF3D7_1126700,6.228890,63
PF3D7_1126700,247.104000,51
PF3D7_1125700,393.401000,3
PF3D7_1125700,149.977000,54
PF3D7_1125700,161.287000,48
PF3D7_0214900,112.653000,45
PF3D7_0214900,1.260081,30
PF3D7_0214900,161.698000,51
PF3D7_1231200,122.469000,3
PF3D7_1231200,67.552500,54
PF3D7_1231200,2.086360,36
PF3D7_1231200,55.613200,48
PF3D7_0620400,87.928700,51
PF3D7_0620400,151.869000,3
PF3D7_1324600,1.363228,12
PF3D7_1324600,7.449580,42
PF3D7_1324600,1.170785,18
PF3D7_1473400,1.236766,24
PF3D7_1473400,52.974100,48
PF3D7_1473400,118.038000,3
PF3D7_0408500,35.987200,42
PF3D7_0408500,12.404400,51
PF3D7_0402200,1.218404,18
PF3D7_0402200,10.349140,3
PF3D7_0402200,6.495680,51
PF3D7_0617900,6187.350000,45
PF3D7_0617900,971.002000,24
PF3D7_0617900,6807.880000,51
PF3D7_0617900,9877.300000,3
PF3D7_0617900,1397.130000,18
PF3D7_1001200,184.676000,51
PF3D7_1001200,1981.870000,33
PF3D7_API02900,596.486000,45
PF3D7_1115300,230.623000,24
PF3D7_1115300,159.907000,15
PF3D7_1017400,144.556000,66
PF3D7_1017400,202.902000,24
PF3D7_1017400,182.964000,18
PF3D7_0932200,1152.790000,51
PF3D7_0932200,2159.750000,3
PF3D7_0823700,112.115000,18
PF3D7_0823700,280.945000,27
PF3D7_0823700,60.846600,39
PF3D7_0823700,54.977200,12
PF3D7_1362200,117.273000,24
PF3D7_1362200,102.178000,18
PF3D7_1356200,13.977900,51
PF3D7_1356200,143.079000,30
PF3D7_1434800,379.069000,33
PF3D7_1434800,15.255300,51
PF3D7_1427800,35.294100,12
PF3D7_1427800,52.391700,24
PF3D7_1427800,46.111100,63
