,Time,Percent_ring_sum,Percent_troph_sum,Percent_schizont_sum
0,0,1.0,0.0,99.0
1,1,40.905479659987854,0.0,59.027261687917424
2,2,72.25540376442015,0.0,27.632301153612623
3,3,88.3,0.0,11.6
4,4,93.51756236410152,0.0,6.431555806796054
5,5,96.92934148594439,0.0,3.0560077884554984
6,6,98.6,0.0,1.4
7,7,99.32814181703071,0.0,0.6722860791826308
8,8,99.8196264640709,0.0,0.18058748403575997
9,9,100.0,0.0,0.0
10,10,100.0,0.0,0.0
11,11,100.0,0.0,0.0
12,12,100.0,0.0,0.0
13,13,100.0,0.0,0.0
14,14,100.0,0.0,0.0
15,15,100.0,0.0,0.0
16,16,100.0,0.0,0.0
17,17,100.0,0.0,0.0
18,18,100.0,0.0,0.0
19,19,99.5728860936408,0.42711390635918944,0.0
20,20,98.43466107617051,1.56533892382949,0.0
21,21,96.8,3.2,0.0
22,22,93.2449685534591,6.7550314465408805,0.0
23,23,86.89748427672956,13.102515723270441,0.0
24,24,78.8,21.2,0.0
25,25,65.16271900643157,34.83728099356841,0.0
26,26,47.05321579064094,52.94678420935906,0.0
27,27,32.8,67.2,0.0
28,28,23.163450876025724,76.83654912397428,0.0
29,29,15.27061432690175,84.72938567309825,0.0
30,30,12.0,88.0,0.0
31,31,12.051851851851852,87.97762583095917,0.0
32,32,12.148148148148147,87.91080721747387,0.0
33,33,12.2,87.8,0.0
34,34,9.555555555555554,80.52213498157002,9.575730201746461
35,35,4.644444444444444,64.71048078935084,30.04034929238181
36,36,2.0,49.0,49.0
37,37,2.1125925925925926,33.49337486117147,64.874465522433
38,38,2.4029629629629627,18.085576319474626,79.60945498343871
39,39,2.8,11.1,86.1
40,40,3.3739169472502804,12.37037037037037,84.96690647482015
41,41,4.374500561167227,14.72962962962963,82.03381294964029
42,42,6.0,16.0,78.0
43,43,16.446947212910956,11.851851851851853,70.07876566671192
44,44,36.5800897120172,4.148148148148149,57.59158409121759
45,45,55.6,0.0,44.4
46,46,72.70599334073253,0.0,28.426694619147447
47,47,88.90299667036626,0.0,11.602236198462611
48,48,96.1,0.0,3.8
49,49,93.8962962962963,0.0,6.02962962962963
50,50,89.8037037037037,0.0,10.170370370370371
51,51,87.6,0.0,12.4
52,52,89.28518518518518,0.0,11.172998805256869
53,53,92.41481481481482,0.0,8.501553166069295
54,54,94.1,0.0,5.9
55,55,93.94959999999999,1.1925725725725724,3.4540023894862606
56,56,93.53253333333333,3.962922922922922,1.0714456391875748
57,57,92.9,7.1,0.0
58,58,89.73335524431997,11.35189189189189,0.0
59,59,84.53773271086212,16.192612612612614,0.0
60,60,81.6,18.5,0.0
61,61,81.35643833290892,18.37037037037037,0.0
62,62,81.23276462099992,18.12962962962963,0.0
63,63,81.0,18.0,0.0
64,64,79.28282828282828,19.814814814814813,0.0
65,65,76.47474747474749,23.185185185185187,0.0
66,66,75.0,25.0,0.0
67,67,75.0,25.0,0.0
68,68,75.0,25.0,0.0
69,69,75.0,25.0,0.0
