gene,expr,timepoint
PF3D7_0501000,10.428420,6
PF3D7_0501000,15.988800,48
PF3D7_1447400,1.400633,3
PF3D7_1447400,2.101070,48
PF3D7_1436000,8.861710,3
PF3D7_1436000,11.661600,51
PF3D7_1368200,26.657500,3
PF3D7_1368200,28.834900,48
PF3D7_0906910,3.731250,6
PF3D7_0906910,59.909400,24
PF3D7_0906910,5.069820,48
PF3D7_1028000,3.363270,6
PF3D7_1028000,3.434210,48
PF3D7_1038100,4.347650,3
PF3D7_1038100,16.450100,18
PF3D7_1038100,4.927020,48
PF3D7_1371600,1.164696,27
PF3D7_0532300,26.295900,3
PF3D7_0532300,65.182900,42
PF3D7_0532300,25.680100,48
PF3D7_0821400,123.833000,30
PF3D7_0213700,3.549270,6
PF3D7_0213700,297.806000,27
PF3D7_0213700,7.764050,48
PF3D7_1354500,10.470430,6
PF3D7_1354500,12.471600,48
PF3D7_0810800,1.486353,6
PF3D7_0810800,3.124040,48
PF3D7_0810800,3.501770,54
PF3D7_1332400,6.277550,3
PF3D7_1332400,13.991700,12
PF3D7_1332400,6.601050,48
PF3D7_0806000,1.581657,6
PF3D7_0806000,2.666110,51
PF3D7_1469200,2.973600,15
PF3D7_1469200,1.413851,24
PF3D7_1469200,1.460259,30
PF3D7_0613900,1.207894,24
PF3D7_1104900,1.161850,27
PF3D7_1037300,37.944100,3
PF3D7_1037300,570.462000,21
PF3D7_1037300,48.813100,48
PF3D7_1130600,2.180380,3
PF3D7_1130600,23.125000,24
PF3D7_1130600,2.684430,48
PF3D7_0323100,2.595410,6
PF3D7_0323100,7.511210,48
PF3D7_0323100,6.590010,54
PF3D7_1408100,58.843300,3
PF3D7_1408100,730.308000,21
PF3D7_1408100,80.352900,48
PF3D7_1408100,678.390000,63
PF3D7_0628300,16.964600,27
PF3D7_0628300,2326.960000,51
PF3D7_1010700,25.359300,3
PF3D7_1010700,234.875000,21
PF3D7_1010700,35.950400,48
PF3D7_0512000,8.645600,6
PF3D7_0512000,126.536000,21
PF3D7_0512000,21.090300,48
PF3D7_0512000,12.341900,54
PF3D7_0114200,1.951193,6
PF3D7_0114200,3.377520,48
PF3D7_0711500,2.208050,9
PF3D7_0711500,11.886800,48
PF3D7_0711500,4.198650,57
PF3D7_0932300,2.588700,6
PF3D7_0932300,6.396460,48
PF3D7_0932300,7.606090,54
PF3D7_1242200,11.425500,3
PF3D7_1242200,35.739300,18
PF3D7_1242200,13.446000,48
PF3D7_1242600,2.173420,6
PF3D7_1242600,2.297280,48
