gene,expr,timepoint
PF3D7_1200400,64.668600,27
PF3D7_1200400,2.300870,48
PF3D7_1200400,3.656760,57
PF3D7_1370300,19604.200000,27
PF3D7_1370300,493.265000,48
PF3D7_0425800,149.854000,27
PF3D7_0425800,5.581610,57
PF3D7_0632500,72.217000,27
PF3D7_0632500,4.299900,57
PF3D7_0604200,61.466800,54
PF3D7_0604200,126.330000,45
PF3D7_0604200,7.351790,15
PF3D7_1131000,11.197500,60
PF3D7_1131000,3.061100,18
PF3D7_1131000,54.802700,45
PF3D7_1131000,6.567680,12
PF3D7_1150400,123.922000,27
PF3D7_1150400,27.704400,12
PF3D7_1150400,4.693280,57
PF3D7_0617400,1.773104,48
PF3D7_0617400,10.731420,12
PF3D7_0617400,2.260330,57
PF3D7_0617400,29.943400,27
PF3D7_1300300,32.829000,27
PF3D7_1300300,1.613200,48
PF3D7_1300300,2.476340,57
PF3D7_0828200,9.486610,60
PF3D7_0828200,27.458000,39
PF3D7_1100200,90.755900,12
PF3D7_1100200,10.573170,57
PF3D7_1100200,311.587000,27
PF3D7_0712300,3.180620,48
PF3D7_0712300,163.585000,27
PF3D7_0712300,3.891020,57
PF3D7_0712000,3.332470,48
PF3D7_0712000,27.183200,12
PF3D7_0712000,127.255000,27
PF3D7_0733000,3.012740,57
PF3D7_0733000,60.759700,27
PF3D7_0800200,20.433800,27
PF3D7_1241600,2.883300,30
PF3D7_1241600,26.123900,45
PF3D7_1241600,22.483100,54
PF3D7_1301200,7008.190000,24
PF3D7_1215300,41.896500,12
PF3D7_1215300,178.350000,54
PF3D7_1215300,1217.070000,42
PF3D7_1240300,4.329340,57
PF3D7_1240300,108.540000,27
PF3D7_0400400,66.201100,27
PF3D7_0400400,4.013880,57
PF3D7_0400400,2.462880,48
PF3D7_1037100,57.534700,42
PF3D7_1037100,15.539000,57
PF3D7_0831700,11057.300000,18
PF3D7_0831700,1012.460000,45
PF3D7_0831700,24509.100000,27
PF3D7_0831700,729.066000,60
PF3D7_1317400,112.261000,36
PF3D7_1317400,17.016700,60
PF3D7_1317400,77.253400,45
PF3D7_1208300,19.640200,60
PF3D7_1208300,84.946000,39
PF3D7_1208300,111.086000,45
PF3D7_1452700,56.557000,60
PF3D7_1452700,159.230000,48
PF3D7_1452700,135.754000,39
PF3D7_0312000,121.897000,42
PF3D7_0312000,210.815000,48
PF3D7_1110600,90.710200,3
PF3D7_1110600,18.133500,30
PF3D7_1110600,173.483000,51
PF3D7_1300100,2.585420,57
PF3D7_1300100,51.010900,27
PF3D7_1300100,13.726800,12
PF3D7_1000100,56.760800,27
PF3D7_1000100,2.103350,48
PF3D7_1000100,2.251500,57
PF3D7_0518100,24.206400,42
PF3D7_0518100,8.298340,57
PF3D7_0518100,21.110300,48
PF3D7_0600200,4.430460,57
PF3D7_0600200,2.492790,48
PF3D7_0600200,67.612500,27
PF3D7_0600200,20.789300,12
PF3D7_0420700,9.933940,12
PF3D7_0420700,2.150440,48
PF3D7_0420700,1.830405,57
PF3D7_0420700,25.334400,27
PF3D7_0600400,27.638800,27
PF3D7_0600400,6.059970,12
PF3D7_0115700,1.627545,48
PF3D7_0115700,19.091500,27
PF3D7_0115700,1.529357,57
PF3D7_0314300,2.564670,33
PF3D7_0314300,10.248020,51
PF3D7_0314300,10.920100,45
PF3D7_1372200,291.732000,48
PF3D7_1372200,8042.990000,33
PF3D7_1372200,5307.610000,18
PF3D7_1372200,340.270000,60
PF3D7_1372200,15997.300000,27
PF3D7_1353200,2321.340000,18
PF3D7_1353200,212.126000,60
PF3D7_1353200,4694.260000,27
PF3D7_1353200,81.517500,48
PF3D7_0936000,1864.070000,12
PF3D7_0936000,4378.370000,27
PF3D7_0936000,2356.380000,18
PF3D7_0936000,238.849000,60
PF3D7_0936000,70.365600,48
PF3D7_1424100,1747.330000,48
PF3D7_1424100,2587.440000,33
PF3D7_1424100,3420.630000,27
PF3D7_1424100,2126.350000,18
PF3D7_1424100,415.292000,60
PF3D7_1434800,570.844000,42
PF3D7_1434800,603.260000,48
PF3D7_1434800,170.576000,54
PF3D7_1015600,400.832000,42
PF3D7_1015600,93.164600,54
PF3D7_1434700,216.165000,48
PF3D7_1434700,106.157000,54
PF3D7_1434700,302.656000,42
PF3D7_1416900,120.649000,54
PF3D7_1416900,287.295000,48
PF3D7_1416900,46.279800,12
PF3D7_1416900,287.522000,42
PF3D7_0902600,112.705000,30
PF3D7_0902600,112.389000,36
PF3D7_0902600,4.414700,3
PF3D7_0816600,121.132000,48
PF3D7_0816600,110.516000,42
PF3D7_0933200,116.564000,48
PF3D7_0933200,108.456000,42
PF3D7_0933200,62.159300,3
PF3D7_0933200,79.262800,54
PF3D7_1041300,56.748500,27
PF3D7_1041300,1.995053,48
PF3D7_1041300,2.312380,57
PF3D7_0900100,9.869910,12
PF3D7_0900100,2.248940,48
PF3D7_0900100,28.762900,27
PF3D7_0900100,2.347300,57
PF3D7_0509600,31.691600,39
PF3D7_0519600,39.814000,33
PF3D7_0519600,28.696800,24
PF3D7_0519600,23.401100,15
PF3D7_0608200,2.253730,15
PF3D7_0608200,26.311800,42
PF3D7_0608200,36.240400,48
PF3D7_0608200,2.804510,24
PF3D7_0608200,18.927000,54
PF3D7_0208500,63.311300,51
PF3D7_0208500,44.337000,42
PF3D7_0208500,5.647360,27
PF3D7_0208500,7.231780,33
PF3D7_1460800,2.448260,30
PF3D7_1460800,11.769700,51
PF3D7_1460800,7.468960,57
PF3D7_1148900,762.606000,57
PF3D7_1148900,7498.240000,27
PF3D7_1148900,3485.270000,12
PF3D7_1148900,127.482000,48
PF3D7_0201800,760.487000,27
PF3D7_0201800,779.250000,33
PF3D7_0711500,74.578900,39
PF3D7_1122800,88.560000,27
PF3D7_1122800,11.366700,60
PF3D7_1430100,34.024500,48
PF3D7_1430100,20.557500,54
PF3D7_0323100,33.923100,33
PF3D7_0323100,33.095600,39
PF3D7_0323100,39.731700,27
PF3D7_1432700,11.943800,30
PF3D7_1432700,131.181000,54
PF3D7_1432700,159.314000,48
PF3D7_0808700,2.026940,48
PF3D7_0808700,12.332400,12
PF3D7_0808700,53.687800,27
PF3D7_0808700,2.763470,57
PF3D7_1111100,9.488600,30
PF3D7_1111100,98.666100,48
PF3D7_0711700,2.412300,48
PF3D7_0711700,11.566600,12
PF3D7_0711700,2.727250,57
PF3D7_0711700,54.497300,27
PF3D7_0800300,8.021530,12
PF3D7_0800300,1.883995,48
PF3D7_0800300,28.426600,27
PF3D7_0800300,1.958278,57
PF3D7_0506000,24.635200,33
PF3D7_0506000,9.923040,51
PF3D7_0506000,18.508400,27
PF3D7_0506000,11.197500,12
PF3D7_1440200,8.927930,57
PF3D7_1440200,23.100500,42
PF3D7_0829600,29.964200,54
PF3D7_0829600,4.555100,27
PF3D7_0829600,29.006100,3
PF3D7_0829600,7.858880,39
PF3D7_0932400,33.101000,51
PF3D7_0932400,4.140900,27
PF3D7_1026200,4.322780,57
PF3D7_1026200,12.102300,48
PF3D7_1026200,5.480670,33
PF3D7_1026200,13.130600,42
PF3D7_1337000,4.054130,54
PF3D7_1337000,13.463600,42
PF3D7_1130200,2456.000000,33
PF3D7_1130200,1456.290000,48
PF3D7_1130200,2412.530000,27
PF3D7_0109500,169.693000,54
PF3D7_0109500,228.458000,48
PF3D7_0109500,365.734000,27
PF3D7_0109500,374.607000,36
PF3D7_1004400,19.209300,57
PF3D7_1004400,91.497800,39
PF3D7_1004400,21.884500,27
PF3D7_1419800,65.676600,54
PF3D7_1419800,139.672000,48
PF3D7_0727800,40.465400,21
PF3D7_0727800,41.345900,27
PF3D7_0727800,38.446900,48
PF3D7_0727800,46.684600,33
PF3D7_0412700,1.911346,57
PF3D7_0412700,2.149220,48
PF3D7_0412700,5.391400,12
PF3D7_0412700,21.323200,27
PF3D7_1225100,3.606380,60
PF3D7_1225100,13.634200,39
PF3D7_0615800,2.444530,21
PF3D7_0615800,4.613340,30
PF3D7_0615800,21.091200,51
PF3D7_0924200,9.918190,42
PF3D7_0924200,5.447740,57
PF3D7_1029100,1.435887,21
PF3D7_1029100,3.048240,57
PF3D7_1029100,12.911900,42
PF3D7_0905300,1.422870,42
PF3D7_0905300,2.499080,6
PF3D7_0905300,3.141190,60
PF3D7_0323000,3032.660000,24
PF3D7_0323000,3167.320000,33
PF3D7_0507100,3378.250000,27
PF3D7_0507100,1715.950000,48
PF3D7_0507100,316.520000,60
PF3D7_0507100,2613.740000,33
PF3D7_1468200,89.968200,51
PF3D7_1468200,394.269000,30
PF3D7_1468200,57.897400,60
PF3D7_0312400,224.299000,51
PF3D7_0312400,154.438000,60
PF3D7_0312400,53.718200,27
PF3D7_0526800,241.793000,33
PF3D7_0526800,27.889400,60
PF3D7_0526800,180.339000,27
PF3D7_0526800,69.643500,45
PF3D7_0414300,46.806600,54
PF3D7_0414300,62.146200,42
PF3D7_0414300,77.003300,36
PF3D7_0414300,54.724800,27
PF3D7_0700100,56.143800,27
PF3D7_0700100,2.812220,48
PF3D7_0700100,3.356710,57
PF3D7_0104400,34.198500,42
PF3D7_0104400,20.055800,9
PF3D7_0104400,42.599700,48
PF3D7_0104400,37.419400,54
PF3D7_0723900,24.353100,21
PF3D7_0723900,34.288700,36
PF3D7_0723900,22.072400,48
PF3D7_1428600,3.837950,18
PF3D7_1428600,38.957500,45
PF3D7_1428600,6.800880,30
PF3D7_1337100,10.770430,54
PF3D7_1337100,3.082340,18
PF3D7_1337100,52.528100,42
PF3D7_1337100,37.892500,48
PF3D7_0107900,22.865200,39
PF3D7_1332400,8.797400,9
PF3D7_1332400,18.384400,21
PF3D7_1332400,28.667100,33
PF3D7_0703200,11.620700,36
PF3D7_0703200,20.636600,48
PF3D7_1352800,16.449400,45
PF3D7_1352800,8.402120,60
PF3D7_1352800,13.288100,24
PF3D7_1352800,22.070300,36
PF3D7_0806000,16.540400,36
PF3D7_0806000,9.532710,45
PF3D7_0806000,10.049060,24
PF3D7_1435800,7.990240,54
PF3D7_1435800,15.930700,48
PF3D7_1435800,7.326870,3
PF3D7_0515100,1.543849,21
PF3D7_0515100,2.983000,30
PF3D7_0515100,9.796200,48
PF3D7_0808000,1.665808,24
PF3D7_0808000,2.623470,60
PF3D7_0808000,11.672900,42
PF3D7_1133700,410.718000,27
PF3D7_1133700,11.847300,48
PF3D7_1308900,224.128000,33
PF3D7_1308900,88.640900,48
PF3D7_1308900,43.105900,57
PF3D7_1308900,231.468000,27
PF3D7_1224600,16.392600,60
PF3D7_1224600,131.217000,36
PF3D7_1224600,157.842000,27
PF3D7_1235600,50.663700,30
PF3D7_1235600,878.553000,48
PF3D7_1317300,153.756000,36
PF3D7_1317300,101.551000,48
PF3D7_0705900,163.692000,48
PF3D7_0705900,142.557000,54
PF3D7_0705900,46.205200,27
PF3D7_0705900,55.726300,33
PF3D7_1115000,112.154000,54
PF3D7_1115000,25.509100,27
PF3D7_1115000,186.663000,48
PF3D7_0306600,124.344000,54
PF3D7_0306600,70.811600,3
PF3D7_0306600,127.946000,48
PF3D7_0616800,41.294800,54
PF3D7_0616800,22.106600,60
PF3D7_0616800,61.187000,39
PF3D7_0616800,62.060600,48
PF3D7_1241700,128.948000,48
PF3D7_1241700,10.400670,30
PF3D7_1241700,62.804200,54
PF3D7_0529100,18.128800,6
PF3D7_0529100,51.424100,42
PF3D7_0529100,10.837310,30
PF3D7_0529100,37.487500,54
PF3D7_0529100,63.292900,48
PF3D7_0937800,34.640000,27
PF3D7_0937800,2.750090,48
PF3D7_0937800,2.833480,57
PF3D7_0223500,48.590400,27
PF3D7_0223500,10.780140,12
PF3D7_0223500,3.260740,57
PF3D7_0223500,2.320710,48
PF3D7_1447900,25.478200,57
PF3D7_1447900,100.800100,42
PF3D7_0201900,637.253000,36
PF3D7_0201900,6.589740,60
PF3D7_1117100,9.081820,30
PF3D7_1117100,67.407000,51
PF3D7_1117100,3.724970,21
PF3D7_0419100,16.038900,54
PF3D7_0419100,26.186400,48
PF3D7_0419100,5.651920,27
PF3D7_0419100,29.307900,42
PF3D7_1416300,25.485400,48
PF3D7_1416300,4.129960,12
PF3D7_1416300,20.537400,54
PF3D7_1309800,16.286700,57
PF3D7_1309800,41.986500,45
PF3D7_1309800,5.446920,27
PF3D7_0611200,28.788100,57
PF3D7_0611200,4.540160,21
PF3D7_0611200,5.051150,27
PF3D7_0611200,38.030000,42
PF3D7_0620100,34.089500,60
PF3D7_0620100,55.826800,3
PF3D7_0620100,8.176870,24
PF3D7_0620100,12.003100,36
PF3D7_0620100,45.145300,48
PF3D7_0620100,13.385400,15
PF3D7_1343500,19.054900,42
PF3D7_1343500,33.104000,54
PF3D7_1343500,3.864200,30
PF3D7_1343500,31.708100,48
PF3D7_0712400,1.635895,48
PF3D7_0712400,11.134100,27
PF3D7_0712400,1.813914,57
PF3D7_1234000,8.157970,54
PF3D7_1234000,9.069600,48
PF3D7_1234000,2.768340,12
PF3D7_1234000,11.526200,42
PF3D7_1234000,5.764620,33
PF3D7_0213400,32.176600,45
PF3D7_0213400,2.658950,21
PF3D7_0213400,13.072600,54
PF3D7_1145500,8.749040,57
PF3D7_1145500,18.051300,42
PF3D7_1145500,3.157830,15
PF3D7_1350700,16.785500,45
PF3D7_1350700,3.510180,30
PF3D7_1430700,1.788871,21
PF3D7_1430700,2.470470,27
PF3D7_1430700,30.536700,48
PF3D7_1014000,9.599290,3
PF3D7_1014000,19.363700,57
PF3D7_1014000,1.881774,27
PF3D7_0222900,1.135377,3
PF3D7_0222900,1.550087,57
PF3D7_0222900,4.803570,27
PF3D7_0222900,1.197436,51
PF3D7_0908100,11.014800,54
PF3D7_0908100,1.562677,18
PF3D7_0908100,7.122380,48
PF3D7_0908100,1.570327,30
PF3D7_0501300,113.846000,48
PF3D7_0501300,3986.760000,12
PF3D7_0501300,9253.380000,27
PF3D7_0501300,3654.940000,18
PF3D7_0501300,525.599000,60
PF3D7_1353100,5721.710000,33
PF3D7_1353100,302.502000,48
PF3D7_0721600,4593.280000,27
PF3D7_0721600,2402.700000,18
PF3D7_0721600,1769.350000,48
PF3D7_0721600,474.781000,60
PF3D7_0721600,2093.020000,12
PF3D7_0721600,2943.590000,33
PF3D7_0316600,104.404000,54
PF3D7_0316600,1435.290000,33
PF3D7_0316600,237.932000,48
PF3D7_1116200,51.856500,48
PF3D7_1116200,331.686000,27
PF3D7_1116200,28.648000,57
PF3D7_1116200,21.065000,3
PF3D7_1116200,190.805000,33
PF3D7_0811400,184.783000,48
PF3D7_0811400,186.062000,27
PF3D7_0811400,226.537000,36
PF3D7_0811400,126.425000,15
PF3D7_1439500,292.388000,60
PF3D7_1439500,6.876320,39
PF3D7_1439500,223.533000,12
PF3D7_1357900,385.737000,39
PF3D7_1357900,27.727800,9
PF3D7_1357900,41.029000,57
PF3D7_1414000,16.739200,21
PF3D7_1414000,209.060000,51
PF3D7_1414000,34.588000,30
PF3D7_1423600,56.547000,30
PF3D7_1423600,98.075600,39
PF3D7_1423600,27.868900,54
PF3D7_1423600,46.823600,48
PF3D7_1423600,14.996900,6
PF3D7_1132300,84.872400,48
PF3D7_1450600,50.562400,27
PF3D7_1450600,11.870800,57
PF3D7_1450600,68.310400,33
PF3D7_1450600,38.841000,15
PF3D7_0810800,128.319000,36
PF3D7_0810800,10.786550,57
PF3D7_1359200,28.734900,60
PF3D7_1359200,13.791700,24
PF3D7_1359200,54.364800,48
PF3D7_1359200,31.112200,33
PF3D7_0611900,8.304010,18
PF3D7_0611900,40.491600,33
PF3D7_0611900,34.418300,54
PF3D7_0611900,52.517500,42
PF3D7_0611900,31.982700,27
PF3D7_0715800,41.072700,42
PF3D7_0715800,12.507300,30
PF3D7_0715800,57.793100,48
PF3D7_1330600,58.090400,48
PF3D7_1330600,22.132800,57
PF3D7_1330600,6.914370,30
PF3D7_1308100,3.887880,15
PF3D7_1308100,28.600200,42
PF3D7_1308100,39.140700,48
PF3D7_1112400,40.665400,45
PF3D7_1112400,3.622560,21
PF3D7_1112400,6.578770,27
PF3D7_0417200,90.381700,48
PF3D7_0417200,52.397700,54
PF3D7_0417200,5.788530,30
PF3D7_0307500,32.894900,51
PF3D7_0307600,3.171110,15
PF3D7_0307600,5.502580,30
PF3D7_0307600,22.963100,51
PF3D7_0308000,16.507700,45
PF3D7_0308000,2.453900,21
PF3D7_0308000,5.754210,57
PF3D7_0308000,7.601900,51
PF3D7_1443500,3.816110,60
PF3D7_1443500,15.812900,42
PF3D7_0408900,2.790480,30
PF3D7_0408900,39.905100,45
PF3D7_0411300,9.494160,39
PF3D7_0411300,2.773240,15
PF3D7_0411300,11.177500,48
PF3D7_0411300,6.879550,57
PF3D7_1450900,2.106940,27
PF3D7_1450900,28.595200,48
PF3D7_1450900,10.857400,54
PF3D7_0726600,2.245740,27
PF3D7_0726600,3.481760,15
PF3D7_0726600,10.882690,48
PF3D7_0726600,7.087620,57
PF3D7_0603200,24.133900,48
PF3D7_0603200,1.924663,21
PF3D7_0603200,2.489040,30
PF3D7_0603200,8.131490,54
PF3D7_0603200,7.487020,60
PF3D7_1112300,1.401943,15
PF3D7_1112300,7.829420,45
PF3D7_0919500,1.808538,36
PF3D7_0919500,1.265169,21
PF3D7_0919500,4.868880,3
PF3D7_0919500,8.514820,57
PF3D7_0919500,1.298627,27
PF3D7_0304800,1.302744,30
PF3D7_0304800,4.338250,45
PF3D7_0304800,5.491560,51
PF3D7_1010700,472.683000,27
PF3D7_1010700,401.495000,33
PF3D7_1010700,202.744000,12
PF3D7_1010700,252.138000,42
PF3D7_1010700,255.700000,48
PF3D7_0400200,194.376000,27
PF3D7_0400200,11.036800,54
PF3D7_0400200,5.992550,48
PF3D7_0320000,312.136000,51
PF3D7_1426900,25.087200,21
PF3D7_1426900,53.680400,33
PF3D7_1426900,569.092000,54
PF3D7_0201600,9.055310,54
PF3D7_0201600,11.286400,60
PF3D7_0201600,454.240000,36
PF3D7_1118200,30.109300,57
PF3D7_1118200,182.945000,42
PF3D7_1474900,96.192900,3
PF3D7_1474900,93.686000,48
PF3D7_1474900,30.166100,27
PF3D7_1474900,119.486000,54
PF3D7_0906100,17.009900,30
PF3D7_0906100,179.086000,54
PF3D7_1219300,3.546090,48
PF3D7_1219300,4.632060,54
PF3D7_1219300,79.426800,27
PF3D7_1451300,68.902100,54
PF3D7_1451300,9.957600,18
PF3D7_1451300,76.518500,48
PF3D7_1123700,10.458430,30
