gene,expr,timepoint
PF3D7_1200400,1.604830,51
PF3D7_1200400,2.266880,45
PF3D7_1200400,3.018770,60
PF3D7_1370300,292.155000,45
PF3D7_1370300,77.226100,51
PF3D7_0425800,1.713445,3
PF3D7_0425800,4.101770,60
PF3D7_0425800,1.646128,51
PF3D7_0632500,1.957530,3
PF3D7_0632500,3.722070,60
PF3D7_0632500,1.951431,51
PF3D7_0604200,2.258650,18
PF3D7_0604200,52.928600,51
PF3D7_0604200,5.636390,12
PF3D7_1131000,2.950250,15
PF3D7_1131000,2.519940,21
PF3D7_1131000,6.380880,9
PF3D7_1131000,10.940280,57
PF3D7_1150400,25.753800,15
PF3D7_1150400,3.487140,60
PF3D7_1150400,1.533558,51
PF3D7_0617400,9.783630,15
PF3D7_0617400,1.938705,60
PF3D7_0617400,1.156962,51
PF3D7_0617400,1.620859,45
PF3D7_1300300,1.604903,45
PF3D7_1300300,2.182460,60
PF3D7_1300300,1.236708,51
PF3D7_0828200,8.446590,57
PF3D7_0828200,2.900330,12
PF3D7_1100200,8.989950,60
PF3D7_1100200,2.818230,3
PF3D7_1100200,85.942500,15
PF3D7_1100200,2.554640,51
PF3D7_0712300,1.504984,51
PF3D7_0712300,2.424700,45
PF3D7_0712300,3.041630,60
PF3D7_0712000,25.017600,15
PF3D7_0712000,2.463900,45
PF3D7_0712000,1.654791,51
PF3D7_0733000,1.433422,3
PF3D7_0733000,2.360910,60
PF3D7_0733000,1.517728,51
PF3D7_0800200,1.267953,3
PF3D7_0800200,1.158132,51
PF3D7_1241600,1.850198,24
PF3D7_1241600,2.672920,33
PF3D7_1241600,19.029100,51
PF3D7_1301200,9.862360,6
PF3D7_1301200,10.227100,51
PF3D7_1215300,40.578800,9
PF3D7_1215300,24.927300,18
PF3D7_1215300,117.816000,51
PF3D7_1240300,1.908761,51
PF3D7_1240300,3.731530,60
PF3D7_0400400,1.452092,51
PF3D7_0400400,2.238770,45
PF3D7_0400400,2.806940,60
PF3D7_1037100,2.801760,18
PF3D7_1037100,12.827800,54
PF3D7_0831700,10426.600000,21
PF3D7_0831700,1010.820000,42
PF3D7_0831700,181.591000,51
PF3D7_1317400,8.603270,15
PF3D7_1317400,72.666500,42
PF3D7_1317400,12.771000,57
PF3D7_1208300,4.144680,18
PF3D7_1208300,77.778500,42
PF3D7_1208300,13.943600,57
PF3D7_1452700,55.890400,57
PF3D7_1452700,21.917900,21
PF3D7_1452700,135.170000,42
PF3D7_0312000,121.134000,45
PF3D7_0312000,3.441980,21
PF3D7_0312000,25.499500,60
PF3D7_1110600,10.735370,24
PF3D7_1110600,13.881700,33
PF3D7_1300100,1.595671,51
PF3D7_1300100,2.283770,60
PF3D7_1300100,12.515600,15
PF3D7_1000100,1.602601,45
PF3D7_1000100,1.772414,60
PF3D7_1000100,1.343016,51
PF3D7_0518100,8.276960,54
PF3D7_0518100,2.511190,12
PF3D7_0518100,18.543600,45
PF3D7_0518100,6.566890,60
PF3D7_0600200,1.896813,3
PF3D7_0600200,18.294000,15
PF3D7_0600200,3.340130,60
PF3D7_0600200,2.428130,45
PF3D7_0600200,1.676513,51
PF3D7_0420700,1.463902,45
PF3D7_0420700,1.211675,51
PF3D7_0420700,1.530375,60
PF3D7_0420700,7.781800,15
PF3D7_0600400,1.124421,3
PF3D7_0600400,6.042810,15
PF3D7_0600400,1.252355,48
PF3D7_0115700,1.412702,45
PF3D7_0115700,1.517712,60
PF3D7_0115700,1.149622,51
PF3D7_0314300,1.229902,18
PF3D7_0314300,2.331340,36
PF3D7_0314300,7.045920,48
PF3D7_1372200,264.720000,45
PF3D7_1372200,74.551900,3
PF3D7_1372200,6420.460000,30
PF3D7_1372200,5221.040000,21
PF3D7_1372200,46.565000,51
PF3D7_1353200,56.544400,45
PF3D7_1353200,20.105900,51
PF3D7_1353200,2237.830000,21
PF3D7_0936000,12.025600,51
PF3D7_0936000,44.506000,45
PF3D7_0936000,2038.020000,21
PF3D7_0936000,1862.880000,15
PF3D7_1424100,290.267000,57
PF3D7_1424100,1451.310000,45
PF3D7_1424100,2044.710000,21
PF3D7_1424100,261.248000,3
PF3D7_1424100,2158.620000,30
PF3D7_1434800,488.603000,45
PF3D7_1434800,58.682700,60
PF3D7_1434800,116.117000,51
PF3D7_1434800,21.879900,15
PF3D7_1015600,46.953800,60
PF3D7_1015600,70.705900,51
PF3D7_1015600,14.584000,15
PF3D7_1434700,209.981000,45
PF3D7_1434700,44.504000,60
PF3D7_1434700,14.860600,15
PF3D7_1434700,57.658200,51
PF3D7_1416900,34.192000,15
PF3D7_1416900,45.327300,9
PF3D7_1416900,94.873400,51
PF3D7_1416900,285.199000,45
PF3D7_0902600,3.436970,6
PF3D7_0902600,4.218970,54
PF3D7_0902600,101.991000,33
PF3D7_0816600,106.218000,45
PF3D7_0816600,7.337080,18
PF3D7_0933200,105.234000,45
PF3D7_0933200,11.505400,21
PF3D7_0933200,77.845500,51
PF3D7_1041300,1.615916,45
PF3D7_1041300,1.622599,60
PF3D7_1041300,1.357750,51
PF3D7_0900100,9.730450,15
PF3D7_0900100,1.393766,51
PF3D7_0900100,1.966752,60
PF3D7_0900100,1.628015,45
PF3D7_0509600,9.128040,60
PF3D7_0509600,3.659860,15
PF3D7_0519600,26.211100,27
PF3D7_0519600,21.303300,18
PF3D7_0519600,6.135390,57
PF3D7_0519600,7.234310,6
PF3D7_0608200,16.033100,51
PF3D7_0608200,1.541165,21
PF3D7_0608200,2.171380,12
PF3D7_0608200,4.831180,60
PF3D7_0608200,21.615100,45
PF3D7_0608200,2.371250,27
PF3D7_0208500,42.047000,45
PF3D7_0208500,3.579170,21
PF3D7_0208500,5.029090,30
PF3D7_0208500,5.246700,36
PF3D7_1460800,1.657725,21
PF3D7_1460800,2.246250,33
PF3D7_1460800,6.527550,60
PF3D7_1460800,7.417310,54
PF3D7_1148900,27.977800,51
PF3D7_1148900,2809.780000,15
PF3D7_1148900,83.375600,45
PF3D7_1148900,661.577000,60
PF3D7_0201800,16.128600,3
PF3D7_0201800,11.530500,51
PF3D7_0201800,747.100000,30
PF3D7_0711500,24.828500,60
PF3D7_0711500,10.577450,12
PF3D7_1122800,6.823680,54
PF3D7_1430100,9.754020,51
PF3D7_1430100,2.099690,21
PF3D7_0323100,32.567400,30
PF3D7_0323100,32.247000,36
PF3D7_0323100,8.953130,57
PF3D7_0323100,6.370080,9
PF3D7_1432700,8.575340,33
PF3D7_1432700,107.668000,51
PF3D7_1432700,44.281500,60
PF3D7_1432700,6.294190,21
PF3D7_0808700,1.433992,3
PF3D7_0808700,2.028340,60
PF3D7_0808700,11.580700,15
PF3D7_0808700,1.295372,51
PF3D7_0808700,1.650648,45
PF3D7_1111100,28.490500,60
PF3D7_1111100,4.315800,24
PF3D7_1111100,7.621530,33
PF3D7_0711700,1.615595,45
PF3D7_0711700,10.411570,15
PF3D7_0711700,2.163110,60
PF3D7_0711700,1.446358,51
PF3D7_0800300,1.287345,51
PF3D7_0800300,1.549284,3
PF3D7_0800300,1.609450,45
PF3D7_0800300,1.759248,60
PF3D7_0800300,7.740640,15
PF3D7_0506000,8.983140,15
PF3D7_0506000,17.867600,30
PF3D7_0506000,4.551560,57
PF3D7_0506000,5.241690,6
PF3D7_0506000,9.469880,48
PF3D7_1440200,2.489460,15
PF3D7_1440200,4.904700,60
PF3D7_1440200,7.166020,54
PF3D7_0829600,3.337900,33
PF3D7_0829600,3.689120,21
PF3D7_0829600,7.006950,42
PF3D7_0932400,2.170620,24
PF3D7_0932400,3.404290,30
PF3D7_0932400,12.745600,60
PF3D7_1026200,1.643049,15
PF3D7_1026200,10.563250,45
PF3D7_1026200,3.833050,51
PF3D7_1026200,5.443290,36
PF3D7_1337000,1.375784,21
PF3D7_1337000,2.864100,51
PF3D7_1130200,304.582000,57
PF3D7_1130200,1041.560000,45
PF3D7_1130200,260.816000,3
PF3D7_1130200,2023.910000,30
PF3D7_0109500,185.584000,45
PF3D7_0109500,274.363000,30
PF3D7_0109500,45.835600,9
PF3D7_0109500,46.411100,60
PF3D7_0109500,151.828000,51
PF3D7_1004400,16.212900,60
PF3D7_1004400,20.421900,30
PF3D7_1004400,13.767700,54
PF3D7_1004400,6.275070,15
PF3D7_1419800,19.441700,60
PF3D7_1419800,3.427280,18
PF3D7_1419800,62.089200,51
PF3D7_0727800,33.797300,42
PF3D7_0727800,10.595600,6
PF3D7_0727800,14.777500,60
PF3D7_0727800,38.587100,30
PF3D7_0727800,38.763300,24
PF3D7_0412700,1.326863,45
PF3D7_0412700,1.636282,60
PF3D7_0412700,5.204840,15
PF3D7_0412700,1.254793,51
PF3D7_1225100,1.685632,15
PF3D7_1225100,2.662380,54
PF3D7_0615800,8.851570,60
PF3D7_0615800,2.314430,18
PF3D7_0615800,3.411580,33
PF3D7_0615800,2.294060,24
PF3D7_0924200,1.517375,15
PF3D7_0924200,3.517240,54
PF3D7_1029100,1.186654,18
PF3D7_1029100,2.515150,54
PF3D7_1029100,1.352321,24
PF3D7_0905300,1.149363,33
PF3D7_0905300,1.326464,48
PF3D7_0323000,2259.920000,27
PF3D7_0323000,326.397000,9
PF3D7_0323000,519.205000,57
PF3D7_0507100,1225.860000,45
PF3D7_0507100,218.301000,57
PF3D7_0507100,2271.270000,30
PF3D7_0507100,215.216000,3
PF3D7_1468200,24.874700,6
PF3D7_1468200,46.677700,48
PF3D7_1468200,23.211300,57
PF3D7_0312400,60.763200,57
PF3D7_0312400,52.773100,30
PF3D7_0312400,29.397200,21
PF3D7_0526800,11.093000,57
PF3D7_0526800,43.376200,42
PF3D7_0526800,142.929000,30
PF3D7_0526800,23.410000,6
PF3D7_0414300,35.803700,51
PF3D7_0414300,10.906790,60
PF3D7_0414300,59.811100,39
PF3D7_0414300,46.092300,30
PF3D7_0414300,7.884100,12
PF3D7_0700100,1.849708,45
PF3D7_0700100,2.439670,60
PF3D7_0700100,1.843579,51
PF3D7_0104400,31.970300,45
PF3D7_0104400,33.448600,51
PF3D7_0104400,19.853800,6
PF3D7_0104400,7.591900,21
PF3D7_0723900,24.091100,24
PF3D7_0723900,8.505510,60
PF3D7_0723900,18.722100,42
PF3D7_0723900,6.330470,12
PF3D7_1428600,2.972570,24
PF3D7_1428600,3.732440,15
PF3D7_1428600,4.557940,33
PF3D7_1428600,13.726300,60
PF3D7_1337100,35.712500,45
PF3D7_1337100,2.923720,21
PF3D7_1337100,3.064180,15
PF3D7_1337100,7.711860,51
PF3D7_0107900,3.254410,15
PF3D7_0107900,7.283020,57
PF3D7_1332400,15.155800,27
PF3D7_1332400,7.398020,12
PF3D7_1332400,6.360110,57
PF3D7_1332400,7.467580,6
PF3D7_0703200,8.970610,60
PF3D7_0703200,2.537800,24
PF3D7_0703200,10.892190,39
PF3D7_1352800,7.313950,57
PF3D7_1352800,11.465900,27
PF3D7_1352800,5.981090,12
PF3D7_1352800,15.070900,42
PF3D7_0806000,9.890530,27
PF3D7_0806000,2.944100,57
PF3D7_0806000,3.848000,12
PF3D7_0806000,9.479250,42
PF3D7_1435800,1.799700,21
PF3D7_1435800,6.988980,51
PF3D7_0515100,1.462543,18
PF3D7_0515100,2.287810,33
PF3D7_0515100,4.825860,60
PF3D7_0515100,1.381781,24
PF3D7_0808000,1.533211,18
PF3D7_0808000,2.418800,57
PF3D7_0808000,1.660308,27
PF3D7_1133700,4.076300,51
PF3D7_1133700,5.804980,45
PF3D7_1308900,40.930600,60
PF3D7_1308900,177.321000,30
PF3D7_1308900,63.355300,45
PF3D7_1308900,41.963800,54
PF3D7_1308900,39.076200,6
PF3D7_1224600,9.714240,6
PF3D7_1224600,118.566000,30
PF3D7_1224600,7.982510,54
PF3D7_1235600,32.565400,33
PF3D7_1235600,19.040200,24
PF3D7_1235600,150.271000,60
PF3D7_1317300,16.701900,6
PF3D7_1317300,26.924200,60
PF3D7_1317300,70.975100,42
PF3D7_0705900,44.869400,30
PF3D7_0705900,58.317200,60
PF3D7_0705900,28.003600,21
PF3D7_0705900,93.461500,51
PF3D7_0705900,49.901900,36
PF3D7_1115000,8.523020,33
PF3D7_1115000,100.785700,51
PF3D7_1115000,6.668620,18
PF3D7_0306600,35.236000,57
PF3D7_0306600,91.579600,51
